# Russian irregular verbs — mined from OpenCorpora gold (kaikki
# fills gaps). Non-reflexive base lemmas; reflexives and prefixed
# derivatives match by suffix unless the base is exact (col 4).
# Regenerate: python3 scripts/rus/mine_verbs.py
# lemma	nonpast(6)	past(4:masc,fem,neut,pl)	imp(2:sg,pl)	exact
выгнить	выгнию,выгниешь,выгниет,выгнием,выгниете,выгниют	-	-	-
выгнуть	выгну,выгнёшь,выгнёт,выгнём,выгнёте,выгнут	-	-	-
выгрести	выгребу,выгребешь,выгребет,выгребем,выгребете,выгребут	выгреб,выгребла,выгребло,выгребли	выгреби,выгребите	-
выдать	выдам,выдашь,выдаст,выдадим,выдадите,выдадут	-	-	-
выдохнуть	-	выдох,выдохла,выдохло,выдохли	-	-
выдрать	выдеру,выдерешь,выдерет,выдерем,выдерете,выдерут	-	выдери,выдерите	-
выесть	выем,выешь,выест,выедим,выедите,выедят	выел,выела,выело,выели	выешь,выешьте	-
выехать	выеду,выедешь,выедет,выедем,выедете,выедут	-	выезжай,выезжайте	-
выжарить	-	-	выжари,выжарьте	-
выжать	выжму,выжмешь,выжмет,выжмем,выжмете,выжмут	-	выжми,выжмите	-
выждать	выжду,выждешь,выждет,выждем,выждете,выждут	-	выжди,выждите	-
выжечь	выжгу,выжжешь,выжжет,выжжем,выжжете,выжгут	выжег,выжгла,выжгло,выжгли	выжги,выжгите	-
выжить	выживу,выживешь,выживет,выживем,выживете,выживут	-	выживи,выживите	-
вызвать	вызову,вызовешь,вызовет,вызовем,вызовете,вызовут	-	вызови,вызовите	-
вызверить	-	-	вызверь,вызверьте	-
вызволить	-	-	вызволи,вызвольте	-
вызнавать	вызнаю,вызнаёшь,вызнаёт,вызнаём,вызнаёте,вызнают	-	-	-
вызревать	вызреваю,вызреваешь,вызревает,вызреваем,вызреваете,вызревают	-	вызревай,вызревайте	-
вызябнуть	-	вызяб,вызябла,вызябло,вызябли	-	-
выискать	выищу,выищешь,выищет,выищем,выищете,выищут	-	выищи,выищите	-
выйти	выйду,выйдешь,выйдет,выйдем,выйдете,выйдут	вышел,вышла,вышло,вышли	выйди,выйдите	-
выкашлянуть	-	-	выкашлянь,выкашляньте	-
выкиснуть	-	выкис,выкисла,выкисло,выкисли	-	-
выклевать	выклюю,выклюешь,выклюет,выклюем,выклюете,выклюют	-	выклюй,выклюйте	-
выкликать	выкличу,выкличешь,выкличет,выкличем,выкличете,выкличут	-	выкличь,выкличьте	-
вылезти	вылезу,вылезешь,вылезет,вылезем,вылезете,вылезут	вылез,вылезла,вылезло,вылезли	вылези,вылезьте	-
вылезть	вылезу,вылезешь,вылезет,вылезем,вылезете,вылезут	вылез,вылезла,вылезло,вылезли	вылези,вылезьте	-
вылить	вылью,выльешь,выльет,выльем,выльете,выльют	-	вылей,вылейте	-
вымазать	вымажу,вымажешь,вымажет,вымажем,вымажете,вымажут	-	вымажи,вымажьте	-
вымереть	вымру,вымрешь,вымрет,вымрем,вымрете,вымрут	вымер,вымерла,вымерло,вымерли	вымри,вымрите	-
вымерзнуть	-	вымерз,вымерзла,вымерзло,вымерзли	-	-
вымерить	-	-	вымерь,вымерьте	-
вымести	вымету,выметешь,выметет,выметем,выметете,выметут	вымел,вымела,вымело,вымели	вымети,выметите	-
выметать	вымечу,вымечешь,вымечет,вымечем,вымечете,вымечут	-	вымечи,вымечите	-
вымокнуть	-	вымок,вымокла,вымокло,вымокли	-	-
вымучить	вымучаю,вымучаешь,вымучает,вымучаем,вымучаете,вымучают	-	вымучай,вымучайте	-
вымылить	-	-	вымыли,вымыльте	-
вымять	вымну,вымнешь,вымнет,вымнем,вымнете,вымнут	-	вымни,вымните	-
вынести	вынесу,вынесешь,вынесет,вынесем,вынесете,вынесут	вынес,вынесла,вынесло,вынесли	вынеси,вынесите	-
вынуть	-	-	вынь,выньте	-
выпарить	-	-	выпари,выпарьте	-
выпасть	выпаду,выпадешь,выпадет,выпадем,выпадете,выпадут	выпал,выпала,выпало,выпали	выпади,выпадите	-
выпевать	выпеваю,выпеваешь,выпевает,выпеваем,выпеваете,выпевают	-	выпевай,выпевайте	-
выпереть	выпру,выпрешь,выпрет,выпрем,выпрете,выпрут	выпер,выперла,выперло,выперли	выпри,выприте	-
выпеть	выпою,выпоешь,выпоет,выпоем,выпоете,выпоют	-	выпой,выпойте	-
выпечь	выпеку,выпечешь,выпечет,выпечем,выпечете,выпекут	выпек,выпекла,выпекло,выпекли	выпеки,выпеките	-
выписать	выпишу,выпишешь,выпишет,выпишем,выпишете,выпишут	-	выпиши,выпишите	-
выпить	выпью,выпьешь,выпьет,выпьем,выпьете,выпьют	-	выпей,выпейте	-
выплакать	выплачу,выплачешь,выплачет,выплачем,выплачете,выплачут	-	выплачь,выплачьте	-
выплести	выплету,выплетешь,выплетет,выплетем,выплетете,выплетут	выплел,выплела,выплело,выплели	выплети,выплетите	-
выпотевать	выпотеваю,выпотеваешь,выпотевает,выпотеваем,выпотеваете,выпотевают	-	выпотевай,выпотевайте	-
выпревать	выпреваю,выпреваешь,выпревает,выпреваем,выпреваете,выпревают	-	выпревай,выпревайте	-
выпрячь	выпрягу,выпряжешь,выпряжет,выпряжем,выпряжете,выпрягут	выпряг,выпрягла,выпрягло,выпрягли	выпряги,выпрягите	-
выпучить	-	-	выпучи,выпучьте	-
выпялить	-	-	выпяли,выпяльте	-
вырезать	вырежу,вырежешь,вырежет,вырежем,вырежете,вырежут	-	вырежи,вырежьте	-
высалить	-	-	высали,высальте	-
высевать	высеваю,высеваешь,высевает,высеваем,высеваете,высевают	-	высевай,высевайте	-
высечь	высеку,высечешь,высечет,высечем,высечете,высекут	высек,высекла,высекло,высекли	высеки,высеките	-
высить	-	-	высь,высьте	-
выскрести	выскребу,выскребешь,выскребет,выскребем,выскребете,выскребут	выскреб,выскребла,выскребло,выскребли	выскреби,выскребите	-
высмотреть	высмотрю,высмотришь,высмотрит,высмотрим,высмотрите,высмотрят	-	высмотри,высмотрите	-
высохнуть	-	высох,высохла,высохло,высохли	-	-
выспорить	-	-	выспори,выспорьте	-
выстлать	выстелю,выстелешь,выстелет,выстелем,выстелете,выстелют	-	выстели,выстелите	-
выстоять	выстою,выстоишь,выстоит,выстоим,выстоите,выстоят	-	выстои,выстойте	-
высыпать	высыплю,высыплешь,высыплет,высыплем,высыплете,высыплют	-	высыпь,высыпьте	-
вытаращить	-	-	вытаращь,вытаращьте	-
вытереть	вытру,вытрешь,вытрет,вытрем,вытрете,вытрут	вытер,вытерла,вытерло,вытерли	вытри,вытрите	-
вытечь	вытеку,вытечешь,вытечет,вытечем,вытечете,вытекут	вытек,вытекла,вытекло,вытекли	вытеки,вытеките	-
