# lemma	PA	IA	PP	IP
آب	آبَ	يَؤُوبُ	إِيبَ	يُؤَابُ
أسكن	أَسْكَنَ	يُسْكِنُ	أُسْكِنَ	يُسْكَنُ
أسل	أَسَلَّ	يُسِلُّ	أُسِلَّ	يُسَلُّ
أسلك	أَسْلَكَ	يُسْلِكُ	أُسْلِكَ	يُسْلَكُ
أسلم	أَسْلَمَ	يُؤَسْلِمُ	أُسْلِمَ	يُؤَسْلَمُ
أسمع	أَسْمَعَ	يُسْمِعُ	أُسْمِعَ	يُسْمَعُ
أسمن	أَسْمَنَ	يُسْمِنُ	أُسْمِنَ	يُسْمَنُ
أسمى	أَسْمَى	يُسْمِي	أُسْمِيَ	يُسْمَى
أسن	أَسَنَّ	يُسِنُّ	أُسِنَّ	يُسَنُّ
أسند	أَسْنَدَ	يُسْنِدُ	أُسْنِدَ	يُسْنَدُ
أسنى	أَسْنَى	يُسْنِي	أُسْنِيَ	يُسْنَى
أسهب	أَسْهَبَ	يُسْهِبُ	أُسْهِبَ	يُسْهَبُ
أسهر	أَسْهَرَ	يُسْهِرُ	أُسْهِرَ	يُسْهَرُ
أسهم	أَسْهَمَ	يُسْهِمُ	أُسْهِمَ	يُسْهَمُ
أسي	أَسِيَ	يَأْسَى	أُسِيَ	يُؤْسَى
أشاب	أَشَابَ	يُشِيبُ	أُشِيبَ	يُشَابُ
أشاح	أَشَاحَ	يُشِيحُ	أُشِيحَ	يُشَاحُ
أشاد	أَشَادَ	يُشِيدُ	أُشِيدَ	يُشَادُ
أشار	أَشَارَ	يُشِيرُ	أُشِيرَ	يُشَارُ
أشاط	أَشَاطَ	يُشِيطُ	أُشِيطَ	يُشَاطُ
أشاع	أَشَاعَ	يُشِيعُ	أُشِيعَ	يُشَاعُ
أشال	أَشَالَ	يُشِيلُ	أُشِيلَ	يُشَالُ
أشب	أَشَبَّ	يُشِبُّ	أُشِبَّ	يُشَبُّ
أشبع	أَشْبَعَ	يُشْبِعُ	أُشْبِعَ	يُشْبَعُ
أشخص	أَشْخَصَ	يُشْخِصُ	أُشْخِصَ	يُشْخَصُ
أشرب	أَشْرَبَ	يُشْرِبُ	أُشْرِبَ	يُشْرَبُ
أشرف	أَشْرَفَ	يُشْرِفُ	أُشْرِفَ	يُشْرَفُ
أشرك	أَشْرَكَ	يُشْرِكُ	أُشْرِكَ	يُشْرَكُ
أشع	أَشَعَّ	يُشِعُّ	أُشِعَّ	يُشَعُّ
أشعر	أَشْعَرَ	يُشْعِرُ	أُشْعِرَ	يُشْعَرُ
أشعل	أَشْعَلَ	يُشْعِلُ	أُشْعِلَ	يُشْعَلُ
أشغل	أَشْغَلَ	يُشْغِلُ	أُشْغِلَ	يُشْغَلُ
أشفق	أَشْفَقَ	يُشْفِقُ	أُشْفِقَ	يُشْفَقُ
أشقى	أَشْقَى	يُشْقِي	أُشْقِيَ	يُشْقَى
أشكل	أَشْكَلَ	يُشْكِلُ	أُشْكِلَ	يُشْكَلُ
أشكى	أَشْكَى	يُشْكِي	أُشْكِيَ	يُشْكَى
أشل	أَشَلَّ	يُشِلُّ	أُشِلَّ	يُشَلُّ
أشلى	أَشْلَى	يُشْلِي	أُشْلِيَ	يُشْلَى
أشم	أَشَمَّ	يُشِمُّ	أُشِمَّ	يُشَمُّ
أشمت	أَشْمَتَ	يُشْمِتُ	أُشْمِتَ	يُشْمَتُ
أشمس	أَشْمَسَ	يُشْمِسُ	-	-
أشهد	أَشْهَدَ	يُشْهِدُ	أُشْهِدَ	يُشْهَدُ
