# lemma	class (uje a i et-i et-eji ne)
naplatit	i
naplašit	i
naplnit	i
napnout	ne
napodplácet	et-i
napodvracet	et-i
napodvádět	et-i
napojit	i
napomenout	ne
napopohánět	et-i
naporoučet	et-i
napotit	i
napotápět	et-i
napouštět	et-i
napražit	i
naprocházet	et-i
naprohlížet	et-i
naprosit	i
naproudit	i
naprovádět	et-i
napružit	i
naprášit	i
napršet	et-i
napustit	i
napučet	et-i
napájet	et-i
napálit	i
napěnit	i
napředjíždět	et-i
napřednášet	et-i
napředplácet	et-i
napředvádět	et-i
napřemýšlet	et-i
napřímit	i
narafičit	i
narandit	i
narazit	i
narašit	i
narochnit	i
narodit	i
narojit	i
narozsvěcet	et-i
narušit	i
narychlit	i
narážet	et-i
narůžovět	et-i
nasadit	i
naschránit	i
nasdílet	et-i
nasedět	et-i
nashromáždit	i
nashánět	et-i
naskladnit	i
naskotačit	i
naskočit	i
naskrblit	i
naslinit	i
nasloužit	i
nasmažit	i
nasmolit	i
nasmradit	i
nasněžit	i
nasolit	i
nasoudit	i
nasoužit	i
naspořit	i
naspájet	et-i
nastavět	et-i
nastolit	i
nastoupit	i
nastrašit	i
nastražit	i
nastrojit	i
nastrčit	i
nastudit	i
nastínit	i
nastřelit	i
nastříbřit	i
nastřílet	et-i
nasunout	ne
nasušit	i
nasvačit	i
nasvinit	i
nasvítit	i
nasvědčit	i
nasvětlit	i
nasytit	i
nasázet	et-i
natlačit	i
natnout	ne
natoužit	i
natočit	i
natrmácet	et-i
natroubit	i
natrousit	i
natroškařit	i
natrápit	i
natrávit	i
natužit	i
natvořit	i
natyčit	i
natáčet	et-i
natěšit	i
natěžit	i
natřásnit	i
naudílet	et-i
nauklízet	et-i
nausnášet	et-i
nauzdit	i
naučit	i
navalit	i
navařit	i
navečeřet	et-i
navházet	et-i
navinout	ne
navlažit	i
navlhčit	i
navlnit	i
navnadit	i
navodit	i
navolit	i
navonět	et-i
navotáčet	et-i
navozit	i
navplácet	et-i
navracet	et-i
navrstvit	i
navrtět	et-i
navrátit	i
navrčet	et-i
navršit	i
navymejšlet	et-i
navymýšlet	et-i
navyprávět	et-i
navyrábět	et-i
navyvádět	et-i
navádět	et-i
naválet	et-i
naválčit	i
navázat	a
navářet	et-i
navážet	et-i
navážit	i
navíjet	et-i
navýšit	i
navěsit	i
navětřit	i
navěšet	et-i
navštívit	i
nazelenit	i
nazkoušet	et-i
nazlatit	i
naznačit	i
nazurážet	et-i
nazvonit	i
nazvracet	et-i
nazvučit	i
nazávodit	i
načadit	i
načepýřit	i
načernit	i
načervenit	i
načeřit	i
načinit	i
načmoudit	i
načmudit	i
načoudit	i
načpět	et-i
načudit	i
načuřit	i
naňahňat	a
nařasit	i
naředit	i
nařehnit	i
nařásnit	i
nařídit	i
našetřit	i
našinout	ne
naškodit	i
naškotit	i
naškrtit	i
naškudlit	i
naškvířit	i
našlechtit	i
našpendlit	i
našpinit	i
našpičatit	i
našpulit	i
našrotit	i
naštětit	i
našveholit	i
našňořit	i
nažehlit	i
nažlutit	i
nažnout	ne
nažvanit	i
nenávidět	et-i
nepodsázet	et-i
nervoznět	et-i
nervóznět	et-i
nimrodit	i
ničit	i
nosit	i
notit	i
novinařit	i
nořit	i
nudit	i
nutit	i
nádeničit	i
náležet	et-i
násilnit	i
nítit	i
nížit	i
obahnit	i
obalamutit	i
obalit	i
obarvit	i
obchodničit	i
obchvátit	i
obcházet	et-i
obdařit	i
obdržet	et-i
obednit	i
obelhat	a
obepnout	ne
obestavět	et-i
obeznámit	i
obežnout	ne
obhlížet	et-i
obhodit	i
obhospodařit	i
obhořet	et-i
obhájit	i
objasnit	i
objezdit	i
objíždět	et-i
obklíčit	i
obkreslit	i
obkroutit	i
obkroužit	i
obkročit	i
oblažit	i
oblbit	i
obletět	et-i
obloudit	i
oblouznit	i
obložit	i
obludit	i
oblíbit	i
obmalovat	a
obmyslit	i
obmýšlet	et-i
obměkčit	i
obměnit	i
obnažit	i
obnosit	i
obnášet	et-i
obohatit	i
obolavět	et-i
obořit	i
obracet	et-i
obrazit	i
obrašit	i
obrečet	et-i
obrnit	i
obrodit	i
obroubit	i
obrousit	i
obrábět	et-i
obránit	i
obrátit	i
obrážet	et-i
obsadit	i
obskočit	i
obsloužit	i
obstavět	et-i
obstoupit	i
obstřelit	i
obtančit	i
obtočit	i
obtulit	i
obtáhnout	ne
obtáčet	et-i
obtížit	i
obudit	i
obveselit	i
obvinit	i
obydlet	et-i
obíjet	et-i
obílit	i
občerstvit	i
oběsit	i
obšťastnit	i
ocedit	i
ocenit	i
ochladit	i
ochmelit	i
ochmýřit	i
ochodit	i
ochotničit	i
ochočit	i
ochořet	et-i
ochraptět	et-i
ochrnout	ne
ochránit	i
ochudit	i
ochuravět	et-i
ochutit	i
ocigánit	i
ocikánit	i
octovatět	et-i
odbahnit	i
odbarvit	i
odbatolit	i
odbednit	i
odblanit	i
odblešit	i
odbočit	i
odbožštit	i
odbrebentit	i
odbrečet	et-i
odbrigádničit	i
odbrousit	i
odbruslit	i
odbrzdit	i
odbránit	i
odbydlet	et-i
odbíjet	et-i
odbřemenit	i
odcedit	i
odchlípit	i
odchodit	i
odchovat	a
odchraptět	et-i
odchytit	i
odcházet	et-i
odchýlit	i
odclonit	i
odcukernit	i
odcvičit	i
odcyklit	i
odcírkevnit	i
oddivadelnit	i
oddlužit	i
oddrandit	i
oddrmolit	i
oddrolit	i
oddálit	i
oddělit	i
odehnout	ne
odepnout	ne
odetnout	ne
odevrátit	i
odfandit	i
odfotit	i
odfrčet	et-i
odfunět	et-i
odfádnit	i
odfáčovat	a
odhalit	i
odhlučnit	i
odhlásit	i
odhlížet	et-i
odhmotnit	i
odhodit	i
odhojit	i
odhořet	et-i
odhrčet	et-i
odhuhňat	a
odhánět	et-i
odházet	et-i
odjednoznačnit	i
odjezdit	i
odječet	et-i
odjistit	i
odjíždět	et-i
odkalit	i
odklidit	i
odklonit	i
odklovat	a
odklánět	et-i
odklápět	et-i
odklátit	i
odklízet	et-i
odklížit	i
odkojit	i
odkornit	i
odkoulet	et-i
odkoupit	i
odkouřit	i
odkovat	a
odkreslit	i
odkrojit	i
odkroutit	i
odkroužit	i
odkrájet	et-i
odkráčet	et-i
odkulit	i
odkutálet	et-i
odkvačit	i
odkysličit	i
odkácet	et-i
odkřemenit	i
odkřemičit	i
odkřesťanit	i
odkřesťanštit	i
odkřičet	et-i
odladit	i
odlednit	i
odlehčit	i
odlesnit	i
odletnit	i
odletět	et-i
odleštit	i
odležet	et-i
odlidnit	i
odlidštit	i
odlistit	i
odlistnit	i
odlišit	i
odloudit	i
odloučit	i
odložit	i
odléčit	i
odlíčit	i
odmarodit	i
odmastit	i
odmladit	i
odmlčet	et-i
odmlžit	i
odmocnit	i
