# lemma	class (uje a i et-i et-eji ne)
zchvět	et-i
zchytit	i
zchytřet	et-i
zcikánět	et-i
zcitlivit	i
zcitlivět	et-i
zcitovět	et-i
zcivilnit	i
zcivilnět	et-i
zcizet	et-i
zcizoložit	i
zcizozemštit	i
zcopatět	et-i
zcuckovatět	et-i
zcukernatět	et-i
zcukernit	i
zcukernět	et-i
zcukrovatět	et-i
zcukřit	i
zcyničtět	et-i
zcírkevnit	i
zdanit	i
zdarebačit	i
zdařit	i
zdefinitivnit	i
zdelšit	i
zdemokratičtět	et-i
zdesateronásobnit	i
zdiamantovět	et-i
zdivadelnit	i
zdivočet	et-i
zdivět	et-i
zdloužit	i
zdlužit	i
zdobromyslnět	et-i
zdobráčtět	et-i
zdohonit	i
zdohánět	et-i
zdokonalit	i
zdolit	i
zdolíčkovatět	et-i
zdomácnit	i
zdomácnět	et-i
zdostupnit	i
zdražit	i
zdredovatět	et-i
zdrnovatět	et-i
zdrobnit	i
zdrobnět	et-i
zdrobtovatět	et-i
zdrolit	i
zdrsnatět	et-i
zdrsnit	i
zdrsnět	et-i
zdrtit	i
zdruhovět	et-i
združstevnit	i
zdrzet	et-i
zdráždit	i
zdržet	et-i
zduchovnit	i
zduchovnět	et-i
zduchovět	et-i
zdunět	et-i
zdusit	i
zdusnět	et-i
zduřet	et-i
zduřit	i
zduševnit	i
zduševnět	et-i
zdužnatět	et-i
zdvojit	i
zdvojkolejnit	i
zdvojmocnit	i
zdvojnásobnit	i
zdvoukolejnit	i
zdychtivět	et-i
zdynamičtit	i
zdávit	i
zdélit	i
zdědit	i
zdědkovatět	et-i
zděravět	et-i
zděsit	i
zdětinět	et-i
zdětinštět	et-i
zdětštit	i
zdřevnatět	et-i
zdřevěnět	et-i
zdůraznit	i
zdůstojnit	i
zdůstojnět	et-i
zdůvodnit	i
zdůvěrnit	i
zdůvěrnět	et-i
zdůvěryhodnit	i
zedničit	i
zefektivnit	i
zekonomičtit	i
zelegantnit	i
zelementárnit	i
zelenavět	et-i
zelenit	i
zelenět	et-i
zeleňat	a
zelinařit	i
zemnit	i
zepičtět	et-i
zerzavět	et-i
zerzivět	et-i
zesamostatnit	i
zesamostatnět	et-i
zesedlačit	i
zesedláčtit	i
zeselštět	et-i
zesentimentálnit	i
zesentimentálnět	et-i
zesilnit	i
zesilnět	et-i
zesimultánit	i
zesinavět	et-i
zesirupovatět	et-i
zesivět	et-i
zeskelnatět	et-i
zeskelnit	i
zeskelnět	et-i
zesklovatět	et-i
zeskromnit	i
zeskromnět	et-i
zeskrovnit	i
zeskrovnět	et-i
zeskutečnit	i
zeskvrnatět	et-i
zesladit	i
zeslavnostnit	i
zeslavnostnět	et-i
zeslizovatět	et-i
zesličnit	i
zesličnět	et-i
zeslovanit	i
zeslovanštit	i
zeslovanštět	et-i
zeslovenštit	i
zesložitit	i
zeslyšitelnit	i
zesmilnit	i
zesmluvnit	i
zesmutnit	i
zesmutnět	et-i
zesmyslnit	i
zesmyslovět	et-i
zesměšnit	i
zesnobštit	i
zesnout	ne
zesnovat	a
zesnětivět	et-i
zesobečtět	et-i
zesociálnit	i
zesoumračit	i
zesousedštět	et-i
zesoučasnit	i
zespisovnit	i
zesplatnit	i
zesplavnit	i
zespolečenštit	i
zespolečenštět	et-i
zespolečnit	i
zesprostačet	et-i
zesprostačit	i
zesprostět	et-i
zesprosťačet	et-i
zesprosťačit	i
zesrdečnět	et-i
zesrdnatět	et-i
zesrozumitelnit	i
zesschematičtět	et-i
zestaropanenštět	et-i
zestarostlivět	et-i
zestatnět	et-i
zestařet	et-i
zestařečtět	et-i
zesteronásobnit	i
zestetičtit	i
zestonásobnit	i
zestrakatět	et-i
zestranit	i
zestraničtit	i
zestraničtět	et-i
zestrejcovatět	et-i
zestrmět	et-i
zestrupovatět	et-i
zestručnit	i
zestručnět	et-i
zestrýcovatět	et-i
zestudenět	et-i
zestátnit	i
zestříbrnět	et-i
zestříbřet	et-i
zestřídmět	et-i
zestřílet	et-i
zestřízlivět	et-i
zesubjektivnit	i
zesukovatět	et-i
zesurovět	et-i
zesvalnatět	et-i
zesvazkovatět	et-i
zesvraštět	et-i
zesvátečnit	i
zesvátečnět	et-i
zesvětačet	et-i
zesvětačit	i
zesvětlet	et-i
zesvětlit	i
zesvětovět	et-i
zesvětštit	i
zesvětštět	et-i
zesympatičtit	i
zesyrovatět	et-i
zesyrovět	et-i
zesílit	i
zesítit	i
zesýrovatět	et-i
zesýřet	et-i
zesýřit	i
zevropštit	i
zevropštět	et-i
zevzdornět	et-i
zevzpurnět	et-i
zevzácnět	et-i
zevšednět	et-i
zevšeobecnit	i
zevšeobecnět	et-i
zextensivnit	i
zextensivnět	et-i
zextenzívnit	i
zextenzívnět	et-i
zezelenavět	et-i
zezlatovatět	et-i
zezlatovět	et-i
zezlatět	et-i
zezlit	i
zezlobnět	et-i
zezlomyslnět	et-i
zezpupnět	et-i
zezpátečnit	i
zezrzavět	et-i
zezvířečtět	et-i
zezákonit	i
zezápadnit	i
zezřejmit	i
zešedivět	et-i
zešeredit	i
zešerednět	et-i
zešeřit	i
zešikmit	i
zešikmět	et-i
zešimlovatět	et-i
zešišatět	et-i
zeškaredit	i
zeškaredět	et-i
zeškvířit	i
zešlechetnět	et-i
zešmírařit	i
zešmírovatět	et-i
zešosatět	et-i
zešosáčtět	et-i
zešpatnět	et-i
zešpinavět	et-i
zešpinit	i
zešpičatit	i
zešpičatět	et-i
zeštíhlet	et-i
zeštíhlit	i
zešuntět	et-i
zešupačet	et-i
zešupinkovatět	et-i
zešupinovatět	et-i
zešílet	et-i
zešířit	i
zešťastnět	et-i
zešťavnatět	et-i
zežebračit	i
zeželatinovatět	et-i
zežhavět	et-i
zeživotnit	i
zežlutit	i
zfajnovět	et-i
zfaldovatět	et-i
zfalešnět	et-i
zfamfrnět	et-i
zfanfrnět	et-i
zfantit	i
zfarářovatět	et-i
zfialovatět	et-i
zfialovět	et-i
zfilcovatět	et-i
zfilistrovatět	et-i
zfilmovatit	i
zfilmovatět	et-i
zfilosofičtět	et-i
zfirmovatět	et-i
zfirnovatět	et-i
zflegmatičtět	et-i
zflekovatět	et-i
zfloutkovatět	et-i
zfotrovatět	et-i
zfouňovatět	et-i
zfrackovatět	et-i
zfraškovatět	et-i
zfrejmarčit	i
zfrázovatět	et-i
zfuriantět	et-i
zfádnět	et-i
zgelovatět	et-i
zgottovatět	et-i
zgrotesknit	i
zgrošovatět	et-i
zhadrovatět	et-i
zhalit	i
zhanbit	i
zhanět	et-i
zharmoničtět	et-i
zhasit	i
zhatit	i
zhavranit	i
zhavranět	et-i
zhaškovatět	et-i
zhedvábnět	et-i
zhezčet	et-i
zhezčit	i
zhladit	i
zhladovět	et-i
zhloubit	i
zhloupatět	et-i
zhloupět	et-i
zhltit	i
zhlučnět	et-i
zhlížet	et-i
zhmotařit	i
zhmotnit	i
zhmotnět	et-i
zhmoždit	i
zhniličit	i
zhniličkovatět	et-i
zhodnotit	i
zhojit	i
zhojnět	et-i
zhonit	i
zhorečnit	i
zhorečnět	et-i
zhorlivět	et-i
zhoroucnět	et-i
zhorčit	i
zhoršit	i
zhospodárnit	i
zhostit	i
zhoubovatět	et-i
zhouževnatět	et-i
zhoužvit	i
zhovadit	i
zhořčit	i
zhranatit	i
zhranatět	et-i
zhranit	i
zhrbatit	i
zhrbatět	et-i
zhrbolatět	et-i
zhrdinštit	i
zhrdinštět	et-i
zhromadnit	i
zhrotit	i
zhroutit	i
zhroužit	i
zhrubět	et-i
zhrzet	et-i
zhránit	i
zhrůznět	et-i
zhubenět	et-i
zhudebnit	i
zhudlařit	i
zhulit	i
zhustit	i
zhutnit	i
zhutnět	et-i
zhuňatět	et-i
zhvězdit	i
zhybnit	i
zhybnět	et-i
zhynout	ne
zhysteričtět	et-i
zhyzdit	i
zhášet	et-i
zhřešit	i
zideovět	et-i
zidyličtit	i
zimavět	et-i
zintelektuálnět	et-i
zintelektuálštět	et-i
zintensivnit	i
zintensivnět	et-i
zintenzivnět	et-i
zintenzívnit	i
zintenzívnět	et-i
zintimnit	i
zintimnět	et-i
zinverznit	i
zinčet	et-i
zjadrnět	et-i
zjakostnit	i
zjalovět	et-i
zjankovatět	et-i
zjančit	i
zjarmit	i
zjasnit	i
zjasnět	et-i
zjařit	i
zjařmit	i
zjednodušit	i
zjednosměrnit	i
zjednostranit	i
zjednostranět	et-i
zjednotvárnit	i
zjednotvárnět	et-i
zjednoznačnit	i
zjedovatět	et-i
zjemnit	i
zjevištnit	i
zjezdit	i
zječmenit	i
zješitnět	et-i
zježatět	et-i
zježit	i
zjinačet	et-i
zjinačit	i
zjinovatět	et-i
zjiskřit	i
zjistit	i
zjitřit	i
zjizlivět	et-i
zjizvit	i
zjílovatět	et-i
zjílovět	et-i
zjítřit	i
zjízlivět	et-i
zjízvit	i
zkabonit	i
zkadeřavět	et-i
zkadeřit	i
zkajícnět	et-i
zkakraholtět	et-i
zkalit	i
zkaličit	i
zkalnět	et-i
zkamenit	i
zkamenovatět	et-i
zkamenět	et-i
zkapacitnit	i
zkapalnit	i
zkapounovatět	et-i
zkartit	i
zkatoličtit	i
zkazit	i
zkašovatět	et-i
zkeťasit	i
zklackovatět	et-i
zklackovitět	et-i
zkladnit	i
zklasičtit	i
zklasičtět	et-i
zklenout	ne
zklestit	i
zklevetit	i
zklidnit	i
zklidnět	et-i
zklihovatět	et-i
zklikatit	i
zklohnit	i
zklukovatět	et-i
zklátit	i
zklíčit	i
zkmotrovatět	et-i
zkojit	i
zkoksovatět	et-i
zkolektivnit	i
zkomisnět	et-i
zkomolit	i
zkomornit	i
zkomunálnit	i
zkonejšit	i
zkonkrétnit	i
zkonkrétnět	et-i
zkonservativnět	et-i
zkonvenčnit	i
zkonvenčnět	et-i
zkonzervativnět	et-i
zkoprnět	et-i
zkopčit	i
zkorkovatět	et-i
zkormoutit	i
zkornatět	et-i
zkorovatět	et-i
zkostnatět	et-i
zkostrbatět	et-i
zkotlavět	et-i
zkoulet	et-i
zkouzelnit	i
zkouzelnět	et-i
zkouzlit	i
zkouřit	i
zkoušet	et-i
zkovat	a
zkovovět	et-i
zkořenit	i
zkořistit	i
zkořit	i
zkošatět	et-i
zkošťálovatět	et-i
zkožnatět	et-i
zkožovatět	et-i
zkrabatit	i
zkrabatět	et-i
zkrasovatět	et-i
zkrasovět	et-i
zkrepatět	et-i
zkreslit	i
zkritičtět	et-i
zkrkavčet	et-i
zkrkavčit	i
zkrnět	et-i
zkrocanět	et-i
zkropenatět	et-i
zkrotit	i
zkroutit	i
zkroužit	i
zkrupičkovatět	et-i
zkrupnatět	et-i
zkrušit	i
zkrvavět	et-i
zkrvit	i
zkrvácet	et-i
zkrájet	et-i
zkrápět	et-i
zkrásit	i
zkrásnit	i
zkrásnět	et-i
zkrátit	i
zkrášlit	i
zkuchtit	i
zkudrnatit	i
zkudrnatět	et-i
zkujnit	i
zkulatit	i
zkulatět	et-i
zkulturnit	i
zkulturnět	et-i
zkurvit	i
zkutit	i
zkučeravit	i
zkučeravět	et-i
zkvalitnit	i
zkvalitnět	et-i
zkvapíkovatět	et-i
zkvasit	i
zkynout	ne
zkypřet	et-i
zkypřit	i
zkyselet	et-i
zkyselit	i
zkájet	et-i
zkálet	et-i
zkáznit	i
zkýčařit	i
zkřemenět	et-i
zkřenčet	et-i
zkřesťanit	i
zkřesťanštit	i
zkřesťanštět	et-i
zkřečovatět	et-i
zkřivdit	i
zkřivět	et-i
zkřišťálovět	et-i
zkřídovatět	et-i
zkřídovět	et-i
zkřížit	i
zlacinit	i
zlacinět	et-i
zladit	i
zladnit	i
zlahodit	i
zlahodnit	i
zlahodnět	et-i
zlaičtit	i
zlajdačit	i
zlakomět	et-i
zlakotit	i
zlakotnit	i
zlakotnět	et-i
zlanařit	i
zlaskavět	et-i
zlatinit	i
zlatit	i
zlatničit	i
zlatovět	et-i
zlatět	et-i
zlačnit	i
zlačnět	et-i
zlednatět	et-i
zledovatět	et-i
zledovět	et-i
zlehkomyslnět	et-i
zlehkovážnět	et-i
zlehčit	i
zlenit	i
zlenivět	et-i
zlenošit	i
zlepšit	i
zlevnit	i
zlevnět	et-i
zleštit	i
zležet	et-i
zležérnět	et-i
zlhostejnit	i
zlhostejnět	et-i
zlidnatět	et-i
zlidnit	i
zlidovět	et-i
zlidštit	i
zlidštět	et-i
zlihovatět	et-i
zliknavět	et-i
zlikvidnit	i
zliterárnit	i
zliterárnět	et-i
zliterátštit	i
zlogičtit	i
zlogičtět	et-i
zlojovatět	et-i
zlostit	i
zlostnit	i
zlotračit	i
zlotřit	i
zloudit	i
zloupit	i
zlověstit	i
zlověštit	i
zlořečit	i
zložit	i
zludařit	i
zludračit	i
zludrařit	i
zlumpačit	i
zlundračit	i
zlupenatět	et-i
zlyričtit	i
zlyričtět	et-i
zléčit	i
zlíbeznit	i
zlíbeznět	et-i
zlíbit	i
zlínět	et-i
zlítit	i
zlítostivět	et-i
zlítostnit	i
zlítostnět	et-i
zmagořit	i
zmajetnět	et-i
zmalebnit	i
zmalichernit	i
zmalichernět	et-i
zmalit	i
zmaličtět	et-i
zmalodušnět	et-i
zmalomocnit	i
zmalomocnět	et-i
zmalomyslnit	i
zmalomyslnět	et-i
zmaloměšťačet	et-i
zmaloměšťáčtět	et-i
zmalověrnět	et-i
zmalátnit	i
zmalátnět	et-i
zmamutovatět	et-i
zmanout	ne
zmanýrovatět	et-i
zmarnit	i
zmarnivět	et-i
zmarnět	et-i
zmasitět	et-i
zmasovět	et-i
zmastit	i
zmatematičtit	i
zmateřštět	et-i
zmatit	i
zmatnit	i
zmatnět	et-i
zmatovatět	et-i
zmazlit	i
zmazovatět	et-i
zmařit	i
zmaškařit	i
zmechaničtět	et-i
zmechovatět	et-i
zmedovět	et-i
zmejlit	i
zmelancholičtět	et-i
zmelodičtit	i
zmelodičtět	et-i
zmenout	ne
zmenšit	i
zmermomocnit	i
zmerčit	i
zmetkařit	i
zmetodičtit	i
zmezinárodnit	i
zmezinárodnět	et-i
zmezit	i
zmezkovatět	et-i
zmilosrdnit	i
zmilosrdnět	et-i
zmilostivět	et-i
zmilostnit	i
zmilostnět	et-i
zminout	ne
zmizet	et-i
zmladit	i
zmlhavět	et-i
zmlhovatět	et-i
zmlsnět	et-i
zmlátit	i
zmléčnatět	et-i
zmléčnit	i
zmléčnět	et-i
zmlžit	i
zmlžnět	et-i
zmnohonásobnit	i
zmnohotvárnit	i
zmnožit	i
zmocnit	i
zmocnět	et-i
zmodernět	et-i
zmodravět	et-i
zmodřet	et-i
zmodřit	i
zmohutnit	i
zmohutnět	et-i
zmokřit	i
zmonolitnit	i
zmorousovatět	et-i
zmoudřet	et-i
zmoudřit	i
zmourovatět	et-i
zmoučit	i
zmoučnatět	et-i
zmozolit	i
zmozolnatět	et-i
zmozolnět	et-i
zmozolovatět	et-i
zmočit	i
zmořit	i
zmramorovatět	et-i
zmravnit	i
zmrazit	i
zmrazivět	et-i
zmrcasatět	et-i
zmrcatit	i
zmrtvit	i
zmrtvolnit	i
zmrtvět	et-i
zmrzačit	i
zmrzet	et-i
zmrzoutět	et-i
zmrzutět	et-i
zmráčit	i
zmršit	i
zmusit	i
zmučit	i
zmužit	i
zmužnit	i
zmužnět	et-i
zmužštit	i
zmužštět	et-i
zmydlit	i
zmyslit	i
zmystičtit	i
zmálit	i
zmámit	i
zmáselnatět	et-i
zmáselnit	i
zmáslovatět	et-i
zmátořit	i
zmátožit	i
zmátožnět	et-i
zmáčet	et-i
zmínit	i
zmírnit	i
zmírnět	et-i
zmútit	i
zmýdelnit	i
zmýdlovatět	et-i
zmýlit	i
zmýtit	i
změchatět	et-i
změdlit	i
změkčit	i
změlnit	i
změlčet	et-i
změlčit	i
změnit	i
změřit	i
změštět	et-i
změšťačet	et-i
změšťáčtit	i
změšťáčtět	et-i
znachovět	et-i
znaivnět	et-i
znaléhavět	et-i
značit	i
zneaktivnit	i
znecenit	i
znechutit	i
znecitelnět	et-i
znecitlivět	et-i
zneduživět	et-i
znedůtklivět	et-i
znedůvěřit	i
znedůvěřivět	et-i
znegativnět	et-i
znehodnotit	i
znehybnit	i
znehybnět	et-i
znejasnit	i
znejasnět	et-i
znejistit	i
znejistět	et-i
zneklidnit	i
zneklidnět	et-i
znekonečnit	i
znelidštit	i
znelidštět	et-i
znelíbit	i
znemocnět	et-i
znemožnit	i
znemravnit	i
znemravnět	et-i
znenávidět	et-i
zneobratnět	et-i
znepatrnět	et-i
zneplatnit	i
zneplodnit	i
znepohodlnět	et-i
znepojízdnit	i
znepokojit	i
znepokojnět	et-i
znepozornět	et-i
znepravidelnit	i
znepravidelnět	et-i
zneprůchodnit	i
zneprůchodnět	et-i
zneprůhlednit	i
zneprůjezdnit	i
znepřehlednit	i
znepřátelit	i
znepříjemnit	i
znepříjemnět	et-i
znepřístupnit	i
znepřítomnět	et-i
znerovnoprávnit	i
znervosnit	i
znervosnět	et-i
znervoznit	i
znervoznět	et-i
znervóznit	i
znervóznět	et-i
zneschopnit	i
znesmrtelnit	i
znesmělit	i
znesnadit	i
znesnadnit	i
znesvářit	i
znesvětit	i
znetečnět	et-i
znetrpělivět	et-i
znetvořit	i
znetvářet	et-i
zneviditelnit	i
znevidět	et-i
znevlídnět	et-i
znevolnit	i
znevolničit	i
znevrlet	et-i
znevážit	i
znevážnět	et-i
znevýhodnit	i
znevýraznit	i
znevěrohodnit	i
znevěřit	i
znečistit	i
znečitelnit	i
zneřádit	i
zneškodnit	i
znešvařit	i
znešťastnět	et-i
znicotnět	et-i
zniternit	i
zniternět	et-i
zničemnit	i
zničit	i
znojit	i
znormálnět	et-i
znovinařit	i
znovudosadit	i
znovudosáhnout	ne
znovunaložit	i
znovunaplnit	i
znovunapustit	i
znovunarodit	i
znovunastolit	i
znovunatočit	i
znovunavrátit	i
znovuobrodit	i
znovuobsadit	i
znovuobydlet	et-i
znovuodhalit	i
znovuosadit	i
znovuosídlit	i
znovupotvrdit	i
znovupřipojit	i
znovupřipomenout	ne
znovurozdělit	i
znovusjednotit	i
znovuspouštět	et-i
znovuspustit	i
znovuuložit	i
znovuusadit	i
znovuuvádět	et-i
znovuvyhlásit	i
znovuvymezit	i
znovuvyplatit	i
znovuvystavět	et-i
znovuvytvořit	i
znovuvytvářet	et-i
znovuvytáčet	et-i
znovuvyzbrojit	i
znovuvzkřísit	i
znovuzabydlet	et-i
znovuzahájit	i
znovuzalesnit	i
znovuzapojit	i
znovuzasunout	ne
znovuzasvětit	i
znovuzavádět	et-i
znovuzačlenit	i
znovuzmrazit	i
znovuzprovoznit	i
znovuzpřístupnit	i
znovuzpřítomnit	i
znovuzrodit	i
znovuzvolit	i
znovuzřídit	i
znořit	i
znudit	i
znudnit	i
znuzačet	et-i
znuzačit	i
znuzit	i
znuzovatět	et-i
znábožnět	et-i
znádhernit	i
znádhernět	et-i
znáhlit	i
známit	i
znápadnět	et-i
znárodnit	i
znárodnět	et-i
znáruživět	et-i
znásilnit	i
znásobnit	i
znázornit	i
zněkolikanásobnit	i
zněmit	i
zněmčit	i
zněmět	et-i
zněžnit	i
zněžnět	et-i
zobchodnit	i
zobchodničit	i
zobecnit	i
zobecnět	et-i
zobjektivnit	i
zobloučit	i
zobousměrnit	i
zobracet	et-i
zobrátit	i
zobytnit	i
zobyčejnit	i
zobyčejnět	et-i
zobzvláštnit	i
zobčanštit	i
zobčanštět	et-i
zocelet	et-i
zocelit	i
zocelovatět	et-i
zocelovět	et-i
zoctit	i
zoctovatět	et-i
zodbornit	i
zodborničtit	i
zodborničtět	et-i
zodbornět	et-i
zodolnit	i
zodpornět	et-i
zodrážet	et-i
zoficiálnit	i
zoficiálnět	et-i
zohavět	et-i
zohebnit	i
zohebnět	et-i
zohlednit	i
zohnit	i
zohnivět	et-i
zohyzdit	i
zohyzdnit	i
zohyzdnět	et-i
zokrouhlit	i
zolejovatět	et-i
zolovnatět	et-i
zolovnět	et-i
zolověnět	et-i
zomrzet	et-i
zonačit	i
zopatrnět	et-i
zopačit	i
zoperetnit	i
zopernit	i
zopičit	i
zopravdovět	et-i
zopáčit	i
zoranžovět	et-i
zornit	i
zosadit	i
zosobnit	i
zostnatět	et-i
zostouzet	et-i
zostražitět	et-i
zostudit	i
zostřet	et-i
zostřit	i
zotročit	i
zounořit	i
zouředničit	i
zouředničtit	i
zočit	i
zošklivět	et-i
zpachtit	i
zpadesátinásobnit	i
zpakostit	i
zpalachovatět	et-i
zpaličatět	et-i
zpaličkovatět	et-i
zpalčivět	et-i
zpamátnit	i
zpanchartět	et-i
zpanikařit	i
zpaničkovatět	et-i
zpanošit	i
zpanštět	et-i
zpapírovatět	et-i
zpapírovět	et-i
zparchantit	i
zparchantět	et-i
zparnit	i
zpartykařit	i
zpasečit	i
zpasivnit	i
zpasivnět	et-i
zpasívnit	i
zpasívnět	et-i
zpateronásobnit	i
zpatrnit	i
zpařezovatět	et-i
zpecinovatět	et-i
zpeněžit	i
zpepičet	et-i
zpepíkovatět	et-i
zpepřit	i
zperlit	i
zpestřet	et-i
zpestřit	i
zpevnit	i
zpevnět	et-i
zpečetit	i
zpeřestit	i
zpeřit	i
zpichlavět	et-i
zpihovatět	et-i
zpikantnit	i
zpikantnět	et-i
zpikartit	i
zpikhartit	i
zpitomět	et-i
zpitvornět	et-i
zpitvořit	i
zpizdit	i
zplacatit	i
zplacatět	et-i
zplahočit	i
zplamenit	i
zplamenět	et-i
zplanit	i
zplanět	et-i
zplastičtit	i
zplastičtět	et-i
zplatinovět	et-i
zplavnit	i
zplavět	et-i
zplebejštět	et-i
zplechovatět	et-i
zplemenit	i
zplenit	i
zplesnivět	et-i
zpletichařit	i
zplešatět	et-i
zplichtit	i
zplnoletit	i
zplnoletnit	i
zplnomocnit	i
zplnět	et-i
zplodit	i
zplodnit	i
zplodnět	et-i
zplouhavět	et-i
zplošit	i
zplošnit	i
zploštit	i
zploštět	et-i
zplstit	i
zplstnatět	et-i
zplynit	i
zplynět	et-i
zplísnit	i
zpobíjet	et-i
zpochmurnět	et-i
zpochybnit	i
zpochybnět	et-i
zpoctivět	et-i
zpoddanit	i
zpodivnět	et-i
zpodivínštět	et-i
zpodlet	et-i
zpodlit	i
zpodmínit	i
zpodobnit	i
zpodrážet	et-i
zpodstatnit	i
zpodstatnět	et-i
zpodvracet	et-i
zpohanět	et-i
zpohanštět	et-i
zpohltit	i
zpohodlnit	i
zpohodlnět	et-i
zpohyblivět	et-i
zpohádkovět	et-i
zpohášet	et-i
zpojízdnit	i
zpokornět	et-i
zpokrokovatět	et-i
zpolovičatět	et-i
zpolštit	i
zpolštářkovatět	et-i
zpomalet	et-i
zpomalit	i
zponenáhlit	i
zpopelavět	et-i
zpopelit	i
zpopelnit	i
zpopelnět	et-i
zpopelovatět	et-i
zpoplatnit	i
zpopruhovatět	et-i
zpopulárnit	i
zpopulárnět	et-i
zporážet	et-i
zpostřílet	et-i
zposupnět	et-i
zposvátnit	i
zposvátnět	et-i
zpotit	i
zpotvořit	i
zpovlovnět	et-i
zpovolnit	i
zpovrchnit	i
zpovrchnět	et-i
zpovyrážet	et-i
zpoválet	et-i
zpověšet	et-i
zpovšechnit	i
zpovšechnět	et-i
zpozdit	i
zpozemštit	i
zpozemštět	et-i
zpozornět	et-i
zpoztrácet	et-i
zpořídit	i
zprachovatět	et-i
zpraktičtit	i
zpraktičtět	et-i
zprasit	i
zpravdit	i
zpravdivět	et-i
zpravděpodobnit	i
zpravidelnit	i
zpravidelnět	et-i
zprašivět	et-i
zprašnět	et-i
zpraštit	i
zpražit	i
zprecisnit	i
zpreciznit	i
zprimitivnit	i
zprimitivnět	et-i
zprkenět	et-i
zproduktivnit	i
zprogresivnit	i
zprohlížet	et-i
zproložit	i
zpromrzet	et-i
zpronevěřit	i
zpronikavět	et-i
zprorážet	et-i
zprosaičtět	et-i
zprosebnit	i
zprostit	i
zprostonárodnit	i
zprostonárodnět	et-i
zprostopášnit	i
zprostornit	i
zprotivnět	et-i
zprotivět	et-i
zprovinciálnět	et-i
zprovinit	i
zprovoznit	i
zprozaičtět	et-i
zprudit	i
zpruhovatět	et-i
zpružit	i
zpružnit	i
zpružnět	et-i
zpryskyřičnatět	et-i
zprznit	i
zpráchnivět	et-i
zpráchnět	et-i
zprázdnět	et-i
zpráškovatět	et-i
zprůchodnit	i
zprůchodnět	et-i
zprůhlednit	i
zprůhlednět	et-i
zprůjezdnit	i
zprůmyslnit	i
zprůmyslnět	et-i
zprůmyslovět	et-i
zprůměrnit	i
zprůsvitnit	i
zprůsvitnět	et-i
zprůtočnit	i
zprůzračnit	i
zprůzračnět	et-i
zptýlit	i
zpuchýřit	i
zpuchýřkovatět	et-i
zpuchřet	et-i
zpukřet	et-i
zpupkatět	et-i
zpupkovatět	et-i
zpupnět	et-i
zpurpurovět	et-i
zpustit	i
zpustošit	i
zpyšnit	i
zpyšnět	et-i
zpádnět	et-i
zpájet	et-i
zpánovatět	et-i
zpánovitět	et-i
zpáskovatět	et-i
zpíjet	et-i
zpíčit	i
zpórovatět	et-i
zpěknit	i
zpěknět	et-i
zpěnit	i
zpětit	i
zpěčit	i
zpředmětnit	i
zpřehlednit	i
zpřehlížet	et-i
zpřeházet	et-i
zpřejinačit	i
zpřekácet	et-i
zpřerazit	i
zpřerážet	et-i
zpřesnit	i
zpřesnět	et-i
zpřesázet	et-i
zpřetvářet	et-i
zpřetáčet	et-i
zpřevracet	et-i
zpřevrátit	i
zpřeválet	et-i
zpřátelštit	i
zpřídavnět	et-i
zpříjemnit	i
zpříjemnět	et-i
zpříkladnit	i
zpříkřet	et-i
zpříkřit	i
zpřímit	i
zpřírodnit	i
zpřísnit	i
zpřísnět	et-i
zpřístupnit	i
zpřístupnět	et-i
zpřítomnit	i
zpřítomnět	et-i
zpřívětivět	et-i
zpřízemnit	i
zpřízvučnit	i
zpřízvučnět	et-i
zpříčinit	i
zpříčit	i
zpříšernit	i
zpříšernět	et-i
způvabnit	i
způvabnět	et-i
zrabiátnit	i
zrabiátnět	et-i
zracionálnit	i
zradikálničet	et-i
zradikálničit	i
zradikálnět	et-i
zradit	i
zradostnit	i
zradostnět	et-i
zrakouštět	et-i
zramenatět	et-i
zrampouchovatět	et-i
zranit	i
zrazit	i
zračit	i
zrašelinět	et-i
zrcadlit	i
zrdousit	i
zrealističtit	i
zrealističtět	et-i
zregulérnit	i
zrejdit	i
zrejtařit	i
zrelativnit	i
zrentabilnit	i
zrevolučnit	i
zrezatět	et-i
zrezavit	i
zrezavět	et-i
zrezidentnit	i
zrezivět	et-i
zrezovatět	et-i
zreálnit	i
zreálnět	et-i
zrnatět	et-i
zrnit	i
zrodit	i
zrohatit	i
zrohatět	et-i
zrohovatět	et-i
zromantičtit	i
zromantičtět	et-i
zrománštit	i
zronit	i
zrosolovatět	et-i
zroubit	i
zrouhavět	et-i
zrovnoměrnit	i
zrovnoprávnit	i
zrovnovážit	i
zrozkošnit	i
zrozkošnět	et-i
zrozpačitět	et-i
zrozrážet	et-i
zrozumovatět	et-i
zrozumět	et-i
zrozvracet	et-i
zrozšafnět	et-i
zrudit	i
zrudnit	i
zrujnit	i
zruměnit	i
zruměnět	et-i
zrušit	i
zruštit	i
zrychlit	i
zrytířštit	i
zryšavět	et-i
zrzavět	et-i
zrábět	et-i
zrájit	i
zrázet	et-i
zráčit	i
zrážet	et-i
zrútit	i
zrůměnit	i
zrůznit	i
zrůžovatit	i
zrůžovatět	et-i
zrůžovět	et-i
zsinavět	et-i
zsílit	i
ztajemnit	i
ztajemnět	et-i
ztajit	i
ztalácet	et-i
ztančit	i
ztarasit	i
ztatařit	i
zteatrálnit	i
zteatrálnět	et-i
ztechničtit	i
ztechničtět	et-i
ztekutit	i
ztekutět	et-i
