# lemma	p1sg	p3sg	pst1sg	pst3sg	nut	pass-prs	pass-pst	imp2sg ("-" = type-I default)
aloitella	aloittelen	aloittelee	aloittelin	aloitteli	aloitellut	aloitellaan	aloiteltiin	aloittele	-	-	-	aloitellee
aloittaa	aloitan	-	aloitin	aloitti	-	aloitetaan	aloitettiin	aloita	-	-	-	aloittanee
alottaa	alotan	-	alotin	alotti	-	alotetaan	alotettiin	alota	-	-	-	alottanee
alternoida	alternoin	alternoi	alternoin	alternoi	alternoinut	alternoidaan	alternoitiin	alternoi	alternoivat	-	-	alternoinee
alteroida	alteroin	alteroi	alteroin	alteroi	alteroinut	alteroidaan	alteroitiin	alteroi	alteroivat	-	-	alteroinee
altistaa	-	-	altistin	altisti	-	altistetaan	altistettiin	-	-	-	-	altistanee
altistua	-	-	-	-	-	-	-	-	-	-	-	altistunee
alueellistaa	-	-	alueellistin	alueellisti	-	alueellistetaan	alueellistettiin	-	-	-	-	alueellistanee
alueellistua	-	-	-	-	-	-	-	-	-	-	-	alueellistunee
aluminoida	aluminoin	aluminoi	aluminoin	aluminoi	aluminoinut	aluminoidaan	aluminoitiin	aluminoi	aluminoivat	-	-	aluminoinee
alustaa	-	-	alustin	alusti	-	alustetaan	alustettiin	-	-	-	-	alustanee
amerikkalaistaa	-	-	amerikkalaistin	amerikkalaisti	-	amerikkalaistetaan	amerikkalaistettiin	-	-	-	-	amerikkalaistanee
amerikkalaistua	-	-	-	-	-	-	-	-	-	-	-	amerikkalaistunee
ammata	ammaan	ammaa	ammasin	ammasi	ammannut	ammataan	ammattiin	ammaa	ammaavat	ammatkaa	-	ammannee
ammatillistaa	-	-	ammatillistin	ammatillisti	-	ammatillistetaan	ammatillistettiin	-	-	-	-	ammatillistanee
ammatillistua	-	-	-	-	-	-	-	-	-	-	-	ammatillistunee
ammattilaistaa	-	-	ammattilaistin	ammattilaisti	-	ammattilaistetaan	ammattilaistettiin	-	-	-	-	ammattilaistanee
ammattilaistua	-	-	-	-	-	-	-	-	-	-	-	ammattilaistunee
ammentaa	ammennan	-	ammensin	ammensi	-	ammennetaan	ammennettiin	ammenna	-	-	-	ammentanee
ammottaa	ammotan	-	ammotin	ammotti	-	ammotetaan	ammotettiin	ammota	-	-	-	ammottanee
ammua	-	-	-	-	-	-	-	-	-	-	-	ammunee
ammuskella	ammuskelen	ammuskelee	ammuskelin	ammuskeli	ammuskellut	ammuskellaan	ammuskeltiin	ammuskele	-	-	-	ammuskellee
ammuttaa	ammutan	-	ammutin	ammutti	-	ammutetaan	ammutettiin	ammuta	-	-	-	ammuttanee
ampaista	ampaisen	ampaisee	ampaisin	ampaisi	ampaissut	ampaistaan	ampaistiin	ampaise	-	-	-	ampaissee
ampua	ammun	-	ammuin	ampui	-	ammutaan	ammuttiin	ammu	-	-	-	ampunee
ampuilla	ampuilen	ampuilee	ampuilin	ampuili	ampuillut	ampuillaan	ampuiltiin	ampuile	-	-	-	ampuillee
amputoida	amputoin	amputoi	amputoin	amputoi	amputoinut	amputoidaan	amputoitiin	amputoi	amputoivat	-	-	amputoinee
