# lemma(1sg.ipfv.pres)	V;1;SG;IPFV;PRS	V;2;SG;IPFV;PRS	V;3;SG;IPFV;PRS	V;1;PL;IPFV;PRS	V;2;PL;IPFV;PRS	V;3;PL;IPFV;PRS	V;1;SG;IPFV;PST	V;2;SG;IPFV;PST	V;3;SG;IPFV;PST	V;1;PL;IPFV;PST	V;2;PL;IPFV;PST	V;3;PL;IPFV;PST	V;1;SG;PFV;PST	V;2;SG;PFV;PST	V;3;SG;PFV;PST	V;1;PL;PFV;PST	V;2;PL;PFV;PST	V;3;PL;PFV;PST	V;2;SG;IMP	V;2;PL;IMP	V;PTCP  ("-" = productive default)
αναταράζομαι	αναταράζομαι	αναταράζεσαι	αναταράζεται	αναταραζόμαστε	αναταράζεστε	αναταράζονται	αναταραζόμουν	αναταραζόσουν	αναταραζόταν	αναταραζόμασταν	αναταραζόσασταν	αναταράζονταν	αναταράχτηκα	αναταράχτηκες	αναταράχτηκε	αναταραχτήκαμε	αναταραχτήκατε	αναταράχτηκαν	αναταράξου	αναταραχτείτε	-
ανατείνω	-	-	-	-	-	-	ανάτεινα	ανάτεινες	ανάτεινε	ανατείναμε	ανατείνατε	ανάτειναν	ανάτεινα	ανάτεινες	ανάτεινε	ανατείναμε	ανατείνατε	ανάτειναν	ανάτεινε	ανατείνετε	-
ανατιμώ	ανατιμώ	ανατιμάς	ανατιμά	ανατιμούμε	ανατιμάτε	ανατιμούν	ανατιμούσα	ανατιμούσες	ανατιμούσε	ανατιμούσαμε	ανατιμούσατε	ανατιμούσαν	ανατίμησα	ανατίμησες	ανατίμησε	ανατιμήσαμε	ανατιμήσατε	ανατίμησαν	ανατίμησε	ανατιμάτε	ανατιμώντας
ανατινάζομαι	ανατινάζομαι	ανατινάζεσαι	ανατινάζεται	ανατιναζόμαστε	ανατινάζεστε	ανατινάζονται	ανατιναζόμουν	ανατιναζόσουν	ανατιναζόταν	ανατιναζόμασταν	ανατιναζόσασταν	ανατινάζονταν	ανατινάχτηκα	ανατινάχτηκες	ανατινάχτηκε	ανατιναχτήκαμε	ανατιναχτήκατε	ανατινάχτηκαν	ανατινάξου	ανατιναχτείτε	-
ανατοποθετώ	ανατοποθετώ	ανατοποθετείς	ανατοποθετεί	ανατοποθετούμε	ανατοποθετείτε	ανατοποθετούν	ανατοποθετούσα	ανατοποθετούσες	ανατοποθετούσε	ανατοποθετούσαμε	ανατοποθετούσατε	ανατοποθετούσαν	ανατοποθέτησα	ανατοποθέτησες	ανατοποθέτησε	ανατοποθετήσαμε	ανατοποθετήσατε	ανατοποθέτησαν	ανατοποθέτησε	ανατοποθετήστε	ανατοποθετώντας
ανατρέπω	-	-	-	-	-	-	ανέτρεπα	ανέτρεπες	ανέτρεπε	ανατρέπαμε	ανατρέπατε	ανέτρεπαν	ανέτρεψα	ανέτρεψες	ανέτρεψε	ανατρέψαμε	ανατρέψατε	ανέτρεψαν	ανάτρεπε	ανατρέπετε	-
αναφέρω	-	-	-	-	-	-	ανάφερα	ανάφερες	ανάφερε	αναφέραμε	αναφέρατε	ανάφεραν	ανάφερα	ανάφερες	ανάφερε	αναφέραμε	αναφέρατε	ανάφεραν	ανέφερε	αναφέρετε	-
αναφυτεύω	-	-	-	-	-	-	αναφύτευα	αναφύτευες	αναφύτευε	αναφυτεύαμε	αναφυτεύατε	αναφυτεύαν	αναφύτευσα	αναφύτευσες	αναφύτευσε	αναφυτεύσαμε	αναφυτεύσατε	αναφυτεύσαν	αναφύτευε	αναφυτεύετε	-
αναφωνώ	αναφωνώ	αναφωνείς	αναφωνεί	αναφωνούμε	αναφωνείτε	αναφωνούν	αναφωνούσα	αναφωνούσες	αναφωνούσε	αναφωνούσαμε	αναφωνούσατε	αναφωνούσαν	αναφώνησα	αναφώνησες	αναφώνησε	αναφωνήσαμε	αναφωνήσατε	αναφωνήσαν	αναφώνησε	αναφωνήστε	αναφωνώντας
αναχαιτίζομαι	αναχαιτίζομαι	αναχαιτίζεσαι	αναχαιτίζεται	αναχαιτιζόμαστε	αναχαιτίζεστε	αναχαιτίζονται	αναχαιτιζόμουν	αναχαιτιζόσουν	αναχαιτιζόταν	αναχαιτιζόμασταν	αναχαιτιζόσασταν	αναχαιτίζονταν	αναχαιτίστηκα	αναχαιτίστηκες	αναχαιτίστηκε	αναχαιτιστήκαμε	αναχαιτιστήκατε	αναχαιτίστηκαν	αναχαιτίσου	αναχαιτιστείτε	-
αναχαιτίζω	-	-	-	-	-	-	αναχαίτιζα	αναχαίτιζες	αναχαίτιζε	αναχαιτίζαμε	αναχαιτίζατε	αναχαίτιζαν	αναχαίτισα	αναχαίτισες	αναχαίτισε	αναχαιτίσαμε	αναχαιτίσατε	αναχαίτισαν	αναχαίτιζε	αναχαιτίζετε	-
αναχωρώ	αναχωρώ	αναχωρείς	αναχωρεί	αναχωρούμε	αναχωρείτε	αναχωρούν	αναχωρούσα	αναχωρούσες	αναχωρούσε	αναχωρούσαμε	αναχωρούσατε	αναχωρούσαν	αναχώρησα	αναχώρησες	αναχώρησε	αναχωρήσαμε	αναχωρήσατε	αναχωρήσαν	αναχώρησε	αναχωρήστε	αναχωρώντας
αναψοκοκκινίζω	-	-	-	-	-	-	αναψοκοκκίνιζα	αναψοκοκκίνιζες	αναψοκοκκίνιζε	αναψοκοκκινίζαμε	αναψοκοκκινίζατε	αναψοκοκκίνιζαν	αναψοκοκκίνισα	αναψοκοκκίνισες	αναψοκοκκίνισε	αναψοκοκκινίσαμε	αναψοκοκκινίσατε	αναψοκοκκίνισαν	αναψοκοκκίνιζε	αναψοκοκκινίζετε	-
αναψυχώνω	-	-	-	-	-	-	αναψύχωνα	αναψύχωνες	αναψύχωνε	αναψυχώναμε	αναψυχώνατε	αναψυχώναν	αναψύχωσα	αναψύχωσες	αναψύχωσε	αναψυχώσαμε	αναψυχώσατε	αναψυχώσαν	αναψύχωνε	αναψυχώνετε	-
ανδραποδίζω	-	-	-	-	-	-	ανδραπόδιζα	ανδραπόδιζες	ανδραπόδιζε	ανδραποδίζαμε	ανδραποδίζατε	ανδραποδίζαν	ανδραπόδισα	ανδραπόδισες	ανδραπόδισε	ανδραποδίσαμε	ανδραποδίσατε	ανδραποδίσαν	ανδραπόδιζε	ανδραποδίζετε	-
ανδρειώνω	-	-	-	-	-	-	ανδρείωνα	ανδρείωνες	ανδρείωνε	ανδρειώναμε	ανδρειώνατε	ανδρείωναν	ανδρείωσα	ανδρείωσες	ανδρείωσε	ανδρειώσαμε	ανδρειώσατε	ανδρείωσαν	ανδρείωνε	ανδρειώνετε	-
ανδρώνω	-	-	-	-	-	-	άνδρωνα	άνδρωνες	άνδρωνε	ανδρώναμε	ανδρώνατε	άνδρωναν	άνδρωσα	άνδρωσες	άνδρωσε	ανδρώσαμε	ανδρώσατε	άνδρωσαν	άνδρωνε	ανδρώνετε	-
ανεβάζω	-	-	-	-	-	-	ανέβαζα	ανέβαζες	ανέβαζε	ανεβάζαμε	ανεβάζατε	ανέβαζαν	ανέβασα	ανέβασες	ανέβασε	ανεβάσαμε	ανεβάσατε	ανέβασαν	ανέβαζε	ανεβάζετε	-
ανεβαίνω	-	-	-	-	-	-	ανέβαινα	ανέβαινες	ανέβαινε	ανεβαίναμε	ανεβαίνατε	ανέβαιναν	ανέβηκα	ανέβηκες	ανέβηκε	ανεβήκαμε	ανεβήκατε	ανέβηκαν	ανέβα	ανεβαίνετε	-
ανεβοκατεβαίνω	-	-	-	-	-	-	ανεβοκατέβαινα	ανεβοκατέβαινες	ανεβοκατέβαινε	ανεβοκατεβαίναμε	ανεβοκατεβαίνατε	ανεβοκατέβαιναν	ανεβοκατέβηκα	ανεβοκατέβηκες	ανεβοκατέβηκε	ανεβοκατεβήκαμε	ανεβοκατεβήκατε	ανεβοκατέβηκαν	ανεβοκατέβα	ανεβοκατεβαίνετε	-
ανελκύω	-	-	-	-	-	-	ανέλκυα	ανέλκυες	ανέλκυε	ανελκύαμε	ανελκύατε	ανέλκυαν	ανέλκυσα	ανέλκυσες	ανέλκυσε	ανελκύσαμε	ανελκύσατε	ανέλκυσαν	ανέλκυε	ανελκύετε	-
