# lemma(infinitive)	V;NFIN	V;IND;PRS;SG;1	V;IND;PRS;SG;2	V;IND;PRS;SG;3	V;IND;PRS;PL;1	V;IND;PRS;PL;2	V;IND;PRS;PL;3	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PST
ausgesinn	ausgesinn	-	-	-	-	-	-	-	-	ausgesinn
ausginn	ausginn	-	-	-	-	-	-	-	-	ausginn
auskommen	-	-	-	-	-	-	-	-	-	auskomm
ausleeën	-	-	-	-	-	-	-	-	-	ausgeluecht
ausloggen	-	-	-	-	-	-	-	-	-	ausgeloggt
ausmaachen	-	-	-	-	-	-	-	-	-	ausgemaach
ausschléissen	-	-	-	-	-	-	-	-	-	ausgeschloss
ausschreiwen	-	-	-	-	-	-	-	-	-	ausgeschriwwen
ausschwenken	-	-	-	-	-	-	-	-	-	ausgeschwenkt
ausschwätzen	-	-	-	-	-	-	-	-	-	ausgeschwat
aussetzen	-	-	-	-	-	-	-	-	-	ausgesat
ausspullen	-	-	-	-	-	-	-	-	-	ausgespullt
ausstrecken	-	-	-	-	-	-	-	-	-	ausgestreckt
auswäschen	-	-	-	-	-	-	-	-	-	ausgewäsch
awanderen	-	-	-	-	-	-	-	-	-	agewandert
awëllegen	-	-	-	-	-	-	-	-	-	agewëllegt
baken	-	-	baaks	baakt	-	baakt	-	-	baakt	gebak
bannen	-	-	bënns	bënnt	-	-	-	-	-	gebonnen
bedrécken	-	-	-	-	-	-	-	-	-	gebedréckt
bedréien	-	-	-	-	-	-	-	-	-	bedrunn
beezen	-	-	-	-	-	-	-	-	-	gebeezt
befielen	-	-	-	-	-	-	-	-	-	befuelen
begleeden	-	-	begleets	begleet	-	begleet	-	begleet	begleet	begleet
begräifen	-	-	-	-	-	-	-	-	-	begraff
behaapten	-	-	behaaps	-	-	-	-	behap	-	-
behuelen	-	-	behëls	behëlt	-	-	-	-	-	beholl
beleeën	-	-	-	-	-	-	-	-	-	beluecht
beluxen	-	-	belux	-	-	-	-	-	-	-
benennen	-	-	-	-	-	-	-	-	-	benannt
bengelen	-	-	-	-	-	-	-	-	-	gebengelt
berichen	-	-	-	-	-	-	-	-	-	beroch
beschlagnamen	-	-	-	-	-	-	-	-	-	beschagnaamt
beschléissen	-	-	-	-	-	-	-	-	-	beschloss
beschreiwen	-	-	beschreifs	beschreift	-	beschreift	-	beschreif	beschreift	beschriwwen
beschwieren	-	-	-	-	-	-	-	-	-	beschwuer
beschwätzen	-	-	-	-	-	-	-	-	-	beschwat
besetzen	-	-	-	-	-	-	-	-	-	besat
bespriechen	-	-	bespréchs	besprécht	-	-	-	-	-	besprach
bestellen	-	-	-	-	-	-	-	-	-	bestallt
bestielen	-	-	-	-	-	-	-	-	-	bestuel
bestrofen	-	-	bestroofs	bestrooft	-	bestrooft	-	-	bestrooft	bestrooft
bestueden	-	-	-	-	-	-	-	-	-	bestuet
besëtzen	-	-	-	-	-	-	-	-	-	besiess
bewegen	-	-	-	-	-	-	-	-	-	beweegt
beweisen	-	-	-	-	-	-	-	-	-	bewisen
bezeechnen	-	-	bezeechens	bezeechent	-	bezeechent	-	bezeechen	bezeechent	bezeechent
bezuelen	-	-	bezils	bezilt	-	-	-	-	-	-
bezwéngen	-	-	-	-	-	-	-	-	-	bezwongen
bidden	-	-	bitts	bitt	-	bitt	-	bitt	bitt	gebueden
bieden	-	-	biets	biet	-	biet	-	biet	biet	gebiet
biewen	-	-	biefs	bieft	-	bieft	-	bief	bieft	gebieft
bilden	-	-	bilts	bilt	-	bilt	-	bilt	bilt	gebilt
bleiwen	-	-	bleifs	bleift	-	bleift	-	bleif	bleift	bliwwen
blosen	-	-	bléis	bléist	-	bloost	-	-	bloost	geblosen
bludden	-	-	blutts	blutt	-	blutt	-	blutt	blutt	geblutt
bléien	-	-	blitts	blitt	-	-	-	-	-	geblitt
boxen	-	-	box	-	-	-	-	-	-	-
brennen	-	-	-	-	-	-	-	-	-	gebrannt
briechen	-	-	bréchs	brécht	-	-	-	-	-	gebrach
broden	-	-	bréits	bréit	-	brot	-	brot	brot	gebroden
bréngen	-	-	-	-	-	-	-	-	-	bruecht
bueden	-	-	buets	buet	-	buet	-	buet	buet	gebuet
bäibauen	-	-	-	-	-	-	-	-	-	bäigebaut
bäibréngen	-	-	-	-	-	-	-	-	-	bäibruecht
bäidroen	-	-	-	-	-	-	-	-	-	bäigedroen
bäidréien	-	-	-	-	-	-	-	-	-	bäigedréit
bäihalen	-	-	-	-	-	-	-	-	-	bäigehalen
bäikommen	-	-	-	-	-	-	-	-	-	bäikomm
bäikéieren	-	-	-	-	-	-	-	-	-	bäigekéiert
bäileeën	-	-	-	-	-	-	-	-	-	bäigeluecht
bäileien	-	-	-	-	-	-	-	-	-	bäigeleeën
bäiléieren	-	-	-	-	-	-	-	-	-	bäigeléiert
bäischmieren	-	-	-	-	-	-	-	-	-	bäigeschmiert
bäisetzen	-	-	-	-	-	-	-	-	-	bäigesat
bäissen	-	-	-	-	-	-	-	-	-	gebass
bäisteieren	-	-	-	-	-	-	-	-	-	bäigesteiert
bäistoen	-	-	-	-	-	-	-	-	-	bäigestan
dauschen	-	-	-	-	-	-	-	-	-	gedosch
deboiséieren	-	-	-	-	-	-	-	-	-	deboiséierert
denken	-	-	-	-	-	-	-	-	-	geduecht
dinn	-	-	-	-	-	-	-	-	-	gedunn
doen	-	-	dees	deet	-	-	-	-	-	gedoen
doutmaachen	-	-	-	-	-	-	-	-	-	doutgemaach
draleeën	-	-	-	-	-	-	-	-	-	drageluecht
dreiwen	-	-	dreifs	dreift	-	dreift	-	dreif	dreift	gedriwwen
dreschen	-	-	-	-	-	-	-	-	-	gedresch
droen	-	-	dréis	dréit	-	-	-	-	-	gedroen
dropleeën	-	-	-	-	-	-	-	-	-	dropgeluecht
dréchnen	-	-	dréchens	dréchent	-	dréchent	-	dréchen	dréchent	gedréchent
dréiwen	-	-	dréifs	dréift	-	dréift	-	dréif	dréift	gedréift
dréngen	-	-	-	-	-	-	-	-	-	gedrongen
drénken	-	-	-	-	-	-	-	-	-	gedronk
duerchsetzen	-	-	-	-	-	-	-	-	-	duerchgesat
duergoen	-	-	-	-	-	-	-	-	-	duergaang
duerhalen	-	-	-	-	-	-	-	-	-	duergehalen
duerleeën	-	-	-	-	-	-	-	-	-	duergeluecht
däerfen	-	-	-	-	-	-	-	-	-	däerfen
eekelen	-	-	-	-	-	-	-	-	-	gëeekelt
eelzen	-	-	-	-	-	-	-	-	-	gëeelzt
eenegen	-	-	-	-	-	-	-	-	-	gëeenegt
eeteren	-	-	-	-	-	-	-	-	-	gëeetert
emailen	-	-	-	-	-	-	-	-	-	gëemailt
empfielen	-	-	-	-	-	-	-	-	-	empfuelen
empfänken	-	-	-	-	-	-	-	-	-	empfaangen
emäerbelen	-	-	-	-	-	-	-	-	-	emäerbelt
endegen	-	-	-	-	-	-	-	-	-	gëendegt
engen	-	-	-	-	-	-	-	-	-	gëengt
entbannen	-	-	entbënns	entbënnt	-	-	-	-	-	entbonnen
entfléien	-	-	entflitts	entflitt	-	entflitt	-	-	entflitt	entflunn
enträissen	-	-	-	-	-	-	-	-	-	entrass
