# lemma	present	past	past-participle	present-participle	imperative  ("-" = productive default)
aftrek	-	-	afgetrek	-	-
aftreë	-	-	afgetreë	-	-
aftuig	-	-	afgetuig	-	-
aftuimel	-	-	afgetuimel	-	-
afvaar	-	-	afgevaar	afvarende	-
afvaardig	-	-	afgevaardig	-	-
afval	-	-	afgeval	-	-
afvang	-	-	afgevang	-	-
afvat	-	-	afgevat	-	-
afvee	-	-	afgevee	-	-
afveeg	-	-	afgeveeg	-	-
afverhuur	-	-	afverhuur	-	-
afvlak	-	-	afgevlak	-	-
afvlie	-	-	afgevlie	-	-
afvlieg	-	-	afgevlieg	-	-
afvloei	-	-	afgevloei	-	-
afvoer	-	-	afgevoer	-	-
afvorder	-	-	afgevorder	-	-
afvra	-	-	afgevra	-	-
afvreet	-	-	afgevreet	-	-
afvrot	-	-	afgevrot	-	-
afvry	-	-	afgevry	-	-
afvryf	-	-	afgevryf	-	-
afvrywe	-	-	afgevrywe	-	-
afvuur	-	-	afgevuur	-	-
afvyl	-	-	afgevyl	-	-
afwaai	-	-	afgewaai	-	-
afwag	-	-	afgewag	-	-
afwas	-	-	afgewas	-	-
afwater	-	-	afgewater	-	-
afwee	-	-	afgewee	-	-
afweeg	-	-	afgeweeg	-	-
afweek	-	-	afgeweek	-	-
afweer	-	-	afgeweer	-	-
afwei	-	-	afgewei	-	-
afwen	-	-	afgewen	-	-
afwend	-	-	afgewend	-	-
afwentel	-	-	afgewentel	-	-
afwerk	-	-	afgewerk	-	-
afwerp	-	-	afgewerp	-	-
afweë	-	-	afgeweë	-	-
afwikkel	-	-	afgewikkel	-	-
afwip	-	-	afgewip	-	-
afwis	-	-	afgewis	-	-
afwissel	-	-	afgewissel	-	-
afwit	-	-	afgewit	-	-
afwoel	-	-	afgewoel	-	-
afwring	-	-	afgewring	-	-
afwurg	-	-	afgewurg	-	-
afwyk	-	-	afgewyk	-	-
