# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.PTCP;PRS	V.PTCP;PST	V;NFIN
בינדן	-	-	בינדט	-	בינדט	-	-	בינדט	-	געבונדן	-
ביציקלירן	-	ביציקלירשט	-	-	-	-	-	-	-	ביציקלירט	-
בלאַנקירן	-	-	-	-	-	-	-	-	-	בלאַנקירט	-
בלאָזן	-	-	-	-	-	-	-	-	-	געבלאָזן	-
בלאָנדזשען	בלאָנדזש	בלאָנדזשסט	בלאָנדזשט	-	בלאָנדזשט	-	בלאָנדזש	בלאָנדזשט	-	געבלאָנדזשט	-
בלויען	בלוי	בלויסט	בלויט	-	בלויט	-	בלוי	בלויט	-	געבלויט	-
בליִען	בלי	בליסט	בליט	-	בליט	-	בלי	בליט	-	געבליט	-
בלענדן	-	-	בלענדט	-	בלענדט	-	-	בלענדט	-	-	-
בלעקען	בלעק	בלעקסט	בלעקט	-	בלעקט	-	בלעק	בלעקט	-	געבלעקט	-
בלײַבן	-	-	-	-	-	-	-	-	-	געבליבן	-
בעטן	-	-	-	-	-	-	-	-	-	געבעטן	-
בעל־הביתּעווען	-	-	-	-	-	-	-	-	-	בעל־הביתּעוועט	-
בענקען	בענק	בענקסט	בענקט	-	בענקט	-	בענק	בענקט	-	געבענקט	-
בערשטן	-	-	-	-	-	-	-	-	-	געבאָרשטן	-
בראָטן	-	-	-	-	-	-	-	-	-	געבראָטן	-
ברויזן	-	ברויסט	-	-	-	-	-	-	-	-	-
ברעכן	-	-	-	-	-	-	-	-	-	געבראָכן	-
בײַזײַן	-	-	-	-	-	-	-	-	בײַזײַענדיק	בײַגעווען	-
בײַטן	-	-	-	-	-	-	-	-	-	געביטן	-
בײַסן	-	-	-	-	-	-	-	-	-	געביסן	-
בײַקומען	-	-	-	-	-	-	-	-	-	בײַגעקומען	-
בײַשטײַערן	-	-	-	-	-	-	-	-	-	בײַגעשטײַערט	-
גטן	-	-	-	-	-	-	-	-	-	געגט	-
גיין	-	-	-	גייען	-	גייען	-	-	גייענדיק	געגאַנגען	-
גילטן	-	-	-	-	-	-	-	-	-	געגאָלטן	-
גיסן	-	-	-	-	-	-	-	-	-	געגאָסן	-
גלוסטן	-	-	-	-	-	-	-	-	-	געגלוסט	-
גלײַכן	-	-	-	-	-	-	-	-	-	געגליכן	-
גנבֿענען	גנבֿע	גנבֿעסט	גנבֿעט	-	גנבֿעט	-	גנבֿע	גנבֿעט	-	געגנבֿעט	-
געבן	גיב	גיסט	גיט	גיבן	גיט	גיבן	גיב	גיט	-	געגעבן	-
געדענקען	געדענק	געדענקסט	געדענקט	-	געדענקט	-	געדענק	געדענקט	-	געדענקט	-
