# lemma	past	future	present	infinitive
חלף	חלף	יחלוף	חולף	לחלוף
חלק	חלק	יחלוק	חולק	לחלוק
חמד	חמד	יחמוד	חומד	לחמוד
חמל	חמל	יחמל	חומל	-
חמס	חמס	יחמס	חומס	-
חמץ	חמץ	יחמץ	חמץ	-
חמק	חמק	יחמק	חומק	-
חנה	חנה	יחנה	חונה	לחנות
חנך	חנך	יחנך	חונך	-
חנק	חנק	יחנוק	חונק	לחנוק
חס	חס	יחוס	חס	לחוס
חסה	חסה	יחסה	חוסה	לחסות
חסך	חסך	יחסך	חוסך	-
חסם	חסם	יחסם	חוסם	-
חפף	חפף	יחפף	חופף	-
חפץ	חפץ	יחפץ	חפץ	-
חפר	חפר	יחפור	חופר	לחפור
חצב	חצב	יחצב	חוצב	-
חצה	חצה	יחצה	חוצה	לחצות
חצרץ	חצרץ	יחצרץ	מחצרץ	-
חקק	חקק	יחקק	חוקק	-
חקר	חקר	יחקור	חוקר	לחקור
חרב	חרב	יחרב	חרב	לחרוב
חרבן	חרבן	יחרבן	מחרבן	-
חרה	חרה	יחרה	חורה	לחרות
חרז	חרז	יחרז	חורז	-
חרטט	חרטט	יחרטט	מחרטט	-
חרך	חרך	יחרך	חורך	-
חרפ	חרפ	יחרופ	חורפ	לחרופ
חרץ	חרץ	יחרץ	חורץ	-
חרק	חרק	יחרק	חורק	-
חרש	חרש	יחרש	חורש	-
חש	חש	יחוש	חש	-
חשב	חשב	יחשוב	חושב	לחשוב
חשד	חשד	יחשד	חושד	-
חשף	חשף	יחשף	חושף	-
חשש	חשש	יחשש	חושש	-
חתך	חתך	יחתוך	חותך	לחתוך
חתם	חתם	יחתם	חותם	-
חתר	חתר	יחתר	חותר	-
טאטא	טאטא	יטאטא	מטאטא	-
טבח	טבח	יטבח	טובח	לטבוח
טבל	טבל	יטבל	טובל	-
טבע	טבע	יטבע	טובע	לטבוע
טואטא	טואטא	יטואטא	מטואטא	-
טוגן	טגן	יטגן	מטגן	-
טווה	טוה	יטוה	טווה	-
טולטל	טולטל	יטולטל	מטולטל	-
טונף	טונף	יטונף	מטונף	-
טופל	טופל	יטופל	מטופל	-
טח	טח	יטוח	טח	-
טחן	טחן	יטחן	טוחן	לטחון
טיאטא	טיאטא	יטאטא	מטאטא	לטאטא
טיגן	טיגן	יטגן	מטגן	לטגן
טיהר	טהר	יטהר	מטהר	-
טייח	טיח	יטיח	מטיח	-
טייל	טיל	יטיל	מטיל	-
טילטל	טילטל	יטלטל	מטלטל	לטלטל
טילפן	טילפן	יטלפן	מטלפן	לטלפן
טינף	טינף	יטנף	מטנף	לטנף
טיפל	טיפל	יטפל	מטפל	לטפל
טיפס	טיפס	יטפס	מטפס	לטפס
טלגרף	טלגרף	יטלגרף	מטלגרף	-
טלטל	טלטל	יטלטל	מטלטל	-
טלפן	טלפן	יטלפן	מטלפן	-
טמן	טמן	יטמן	טומן	-
טס	טס	יטוס	טס	לטוס
טעה	טעה	יטעה	טועה	לטעות
טעם	טעם	יטעם	טועם	לטעום
טען	טען	יטען	טוען	לטעון
טפח	טפח	יטפח	טופח	לטפוח
טפל	טפל	יטפל	טופל	-
טרף	טרף	יטרוף	טורף	לטרוף
טרפד	טרפד	יטרפד	מטרפד	-
טשטש	טשטש	יטשטש	מטשטש	-
ידה	ידה	יידה	יודה	לידות
ידע	ידע	ידע	יודע	לדעת
יודע	ידע	יידע	מידע	-
יוחם	יחם	ייחם	מיחם	-
יועל	יעל	ייעל	מיעל	-
יוצר	יצר	ייצר	מיצר	-
יזם	יזם	ייזם	יוזם	-
ייאש	יאש	ייאש	מיאש	-
ייבא	יבא	ייבא	מיבא	-
ייבש	יבש	ייבש	מיבש	-
ייגה	יגה	ייגה	מיגה	-
יידע	ידע	יידע	מידע	-
ייוון	יון	ייון	מיון	-
ייחד	ייחד	ייחד	מיחד	ליחד
ייחס	יחס	ייחס	מיחס	-
ייסד	יסד	ייסד	מיסד	-
ייעד	יעד	ייעד	מיעד	-
ייעל	יעל	ייעל	מיעל	-
ייעץ	יעץ	ייעץ	מיעץ	-
ייער	יער	ייער	מיער	-
ייצא	יצא	ייצא	מיצא	-
ייצג	יצג	ייצג	מיצג	-
יישם	ישם	יישם	מישם	-
יישר	ישר	יישר	מישר	-
יכול	יכול	יוכל	יכול	-
ילד	ילד	ילד	יולד	ללדת
ינק	ינק	יינק	יונק	לינוק
יעץ	יעץ	ייעץ	יועץ	-
יצא	יצא	יצא	יוצא	לצאת
יצק	יצק	יצק	יוצק	-
יצר	יצר	ייצור	יוצר	ליצור
יקע	יקע	יקע	יוקע	-
ירא	ירא	יירא	ירא	לירוא
ירד	ירד	ירד	יורד	לרדת
ירה	ירה	יירה	יורה	לירות
ירש	ירש	יירש	יורש	לרשת
ישב	ישב	ישב	יושב	לשבת
ישן	ישן	יישן	ישן	לישון
כאב	כאב	יכאב	כואב	לכאוב
כבד	כבד	יכבד	כבד	-
כבר	כבר	יכבר	כובר	-
כבש	כבש	יכבוש	כובש	לכבוש
כובה	כובה	יכובה	מכובה	-
כונן	כונן	יכונן	מכונן	לכונן
כונס	כונס	יכונס	מכונס	-
כחל	כחל	יכחל	כוחל	-
כיבד	כיבד	יכבד	מכבד	לכבד
כיבה	כיבה	יכבה	מכבה	לכבות
כיבס	כיבס	יכבס	מכבס	לכבס
כיהן	כהן	יכהן	מכהן	-
