# lemma	prs-base	pst-base	fut-base	vn	ptcp	imp2sg	imp2pl	prs-auto ("-" = derive)
déileáil	déileálann	déileáil	déileálfaidh	déileáil	déileáilte	-	déileálaigí	déileáiltear
déroinn	-	-	déroinnfidh	déroinnt	-	-	-	-
dí-adhlaic	dí-adhlacann	dí-adhlaic	dí-adhlacfaidh	dí-adhlacadh	dí-adhlactha	-	dí-adhlacaigí	dí-adhlactar
dí-agair	dí-agraíonn	dí-agair	dí-agróidh	dí-agairt	dí-agartha	-	dí-agraígí	dí-agraítear
dí-armáil	dí-armálann	dí-armáil	dí-armálfaidh	dí-armáil	dí-armáilte	-	dí-armálaigí	dí-armáiltear
dí-eaglaisigh	-	-	dí-eaglaiseoidh	-	-	-	-	-
díbh	-	-	díbhfidh	díbhe	dífe	-	-	-
díbharraigh	-	-	díbharróidh	-	-	-	-	-
díbholg	-	-	-	-	díbholgtha	-	-	-
díbir	díbríonn	díbir	díbreoidh	díbirt	díbeartha	-	díbrígí	díbrítear
dícheangail	dícheanglaíonn	dícheangail	dícheanglóidh	dícheangal	dícheangailte	-	dícheanglaígí	dícheanglaítear
dícheil	-	-	dícheilfidh	dícheilt	-	-	-	-
díchoisric	-	-	díchoisricfidh	díchoisreacan	díchoisricthe	-	-	-
díchorn	-	-	-	-	díchorntha	-	-	-
díchreid	-	-	díchreidfidh	díchreidiúint	-	-	-	-
díchriptigh	-	-	díchripteoidh	-	-	-	-	-
díchuir	-	-	díchuirfidh	díchur	díchurtha	-	-	-
díchum	-	-	-	-	díchumtha	-	-	-
dícháiligh	-	-	dícháileoidh	-	-	-	-	-
díchóimeáil	díchóimeálann	díchóimeáil	díchóimeálfaidh	díchóimeáil	díchóimeáilte	-	díchóimeálaigí	díchóimeáiltear
díchónasc	-	-	-	-	díchónasctha	-	-	-
dífháisc	-	-	dífháiscfidh	dífháscadh	dífháiscthe	-	-	-
díghalraigh	-	-	díghalróidh	-	-	-	-	-
díghlasáil	díghlasálann	díghlasáil	díghlasálfaidh	díghlasáil	díghlasáilte	-	díghlasálaigí	díghlasáiltear
díleáigh	díleánn	díleáigh	díleáfaidh	díleá	díleáite	-	díleáigí	díleáitear
díluacháil	díluachálann	díluacháil	díluachálfaidh	díluacháil	díluacháilte	-	díluachálaigí	díluacháiltear
dílódáil	dílódálann	dílódáil	dílódálfaidh	dílódáil	dílódáilte	-	dílódálaigí	dílódáiltear
dínasc	-	-	-	-	dínasctha	-	-	-
díobh	-	-	-	-	díofa	-	-	-
díobháil	díobhálann	díobháil	díobhálfaidh	díobháil	díobháilte	-	díobhálaigí	díobháiltear
díoghail	díoghlann	díoghail	díoghlfaidh	díoghail	díoghalta	-	díoghlaigí	díoghltar
díol	-	-	-	díol	-	-	-	-
díolaim	díolaimíonn	díolaim	díolaimeoidh	díolaim	díolamtha	-	díolaimígí	díolaimítear
díon	-	-	-	díon	-	-	-	-
díosc	-	-	-	-	díosctha	-	-	-
díoscarnaigh	-	-	-	díoscarnach	-	-	-	-
díospóid	-	-	díospóidfidh	díospóid	-	-	-	-
díotchúisigh	-	-	-	díotchúiseamh	-	-	-	-
díotáil	díotálann	díotáil	díotálfaidh	díotáil	díotáilte	-	díotálaigí	díotáiltear
díphacáil	díphacálann	díphacáil	díphacálfaidh	díphacáil	díphacáilte	-	díphacálaigí	díphacáiltear
díphlugáil	díphlugálann	díphlugáil	díphlugálfaidh	díphlugáil	díphlugáilte	-	díphlugálaigí	díphlugáiltear
díreoigh	díreonn	díreoigh	díreofaidh	díreo	díreoite	-	díreoigí	díreoitear
dírigh	-	-	díreoidh	-	-	-	-	-
díscaoil	-	-	díscaoilfidh	-	-	-	-	-
díscoir	-	-	díscoirfidh	díscor	díscortha	-	-	-
díscriúáil	díscriúálann	díscriúáil	díscriúálfaidh	díscriúáil	díscriúáilte	-	díscriúálaigí	díscriúáiltear
díscríobh	-	-	-	díscríobh	díscríofa	-	-	-
díshioc	-	-	-	díshioc	díshioctha	-	-	-
díshlóg	-	-	-	-	díshlógtha	-	-	-
díshraith	-	-	díshraithfidh	-	díshraite	-	-	díshraitear
díshuaith	-	-	díshuaithfidh	-	díshuaite	-	-	díshuaitear
díshuiteáil	díshuiteálann	díshuiteáil	díshuiteálfaidh	díshuiteáil	díshuiteáilte	-	díshuiteálaigí	díshuiteáiltear
dísletheilg	-	-	dísletheilgfidh	dísletheilgean	dísletheilgthe	-	-	-
díspeag	-	-	-	-	díspeagtha	-	-	-
díthiomsaigh	-	-	díthiomsóidh	-	-	-	-	-
díthochrais	-	-	díthochraisfidh	díthochras	-	-	-	-
dóibeáil	dóibeálann	dóibeáil	dóibeálfaidh	dóibeáil	dóibeáilte	-	dóibeálaigí	dóibeáiltear
dóigh	dónn	dóigh	dófaidh	dó	dóite	-	dóigí	dóitear
dópáil	dópálann	dópáil	dópálfaidh	dópáil	dópáilte	-	dópálaigí	dópáiltear
dúbail	dúblaíonn	dúbail	dúblóidh	dúbailt	dúbailte	-	dúblaígí	dúblaítear
dúbláil	dúblálann	dúbláil	dúblálfaidh	dúbláil	dúbláilte	-	dúblálaigí	dúbláiltear
dúisigh	-	-	dúiseoidh	dúiseacht	-	-	-	-
dúloisc	-	-	dúloiscfidh	dúloscadh	dúloiscthe	-	-	-
dúnmharaigh	-	-	dúnmharóidh	-	-	-	-	-
eachtraigh	-	-	eachtróidh	-	-	-	-	-
eadóirsigh	-	-	eadóirseoidh	-	-	-	-	-
eagair	eagraíonn	eagair	eagróidh	eagairt	eagartha	-	eagraígí	eagraítear
eagnaigh	-	-	eagnóidh	-	-	-	-	-
eagraigh	-	-	eagróidh	-	-	-	-	-
earb	-	-	-	-	earbtha	-	-	-
earcaigh	-	-	earcóidh	-	-	-	-	-
easanálaigh	-	-	easanálóidh	-	-	-	-	-
easbhrúigh	easbhrúnn	easbhrúigh	easbhrúfaidh	easbhrú	easbhrúite	-	easbhrúigí	easbhrúitear
eascainigh	-	-	-	eascainí	-	-	-	-
eascair	eascraíonn	eascair	eascróidh	eascairt	eascartha	-	eascraígí	eascraítear
easmail	-	-	easmailfidh	easmailt	-	-	-	-
easpórtáil	easpórtálann	easpórtáil	easpórtálfaidh	easpórtáil	easpórtáilte	-	easpórtálaigí	easpórtáiltear
easraigh	-	-	easróidh	-	-	-	-	-
eastósc	-	-	-	-	eastósctha	-	-	-
eilléanaigh	-	-	-	Heilléanú	Heilléanaithe	-	-	-
eis	-	-	eisfidh	-	-	-	-	-
eisc	-	-	eiscfidh	-	eiscthe	-	-	-
eiscríobh	-	-	-	eiscríobh	eiscríofa	-	-	-
eiseachaid	eiseachadann	eiseachaid	eiseachadfaidh	eiseachadadh	-	-	eiseachadaigí	eiseachadtar
eisfhear	-	-	-	-	eisfheartha	-	-	-
eisiacht	-	-	-	eisiachtain	eisiachta	-	-	eisiachtar
eisiaigh	eisiann	eisiaigh	eisiafaidh	eisiamh	eisiata	-	eisiaigí	eisiatar
eisigh	-	-	eiseoidh	eisiúint	-	-	-	-
eisil	-	-	eisilfidh	-	-	-	-	-
eisleath	-	-	-	-	eisleata	-	-	eisleatar
eislig	-	-	eisligfidh	eisligean	eisligthe	-	-	-
eisréidh	-	-	eisréidhfidh	eisréadh	eisréite	-	-	-
eistréat	-	-	-	-	eistréata	-	-	eistréatar
eiséat	-	-	-	-	eiséata	-	-	eiséatar
eitigh	-	-	eiteoidh	eiteach	-	-	-	-
eitil	eitlíonn	eitil	eitleoidh	eitilt	eitilte	-	eitlígí	eitlítear
eitseáil	eitseálann	eitseáil	eitseálfaidh	eitseáil	eitseáilte	-	eitseálaigí	eitseáiltear
fabhraigh	-	-	fabhróidh	-	-	-	-	-
fachtóirigh	-	-	fachtóireoidh	-	-	-	-	-
facsáil	facsálann	facsáil	facsálfaidh	facsáil	facsáilte	-	facsálaigí	facsáiltear
fadaigh	-	-	fadóidh	-	-	-	-	-
fadhbh	-	-	-	-	fadhbhtha	-	-	-
faghair	faghraíonn	faghair	faghróidh	faghairt	faghartha	-	faghraígí	faghraítear
faichill	-	-	faichillfidh	-	-	-	-	-
faigh	faigheann	fuair	geobhaidh	fáil	faighte	-	faighigí	faightear
failligh	-	-	failleoidh	-	-	-	-	-
failp	-	-	failpfidh	-	failpthe	-	-	-
fair	-	-	fairfidh	faire	fairthe	-	-	-
faisnéis	-	-	faisnéisfidh	faisnéis	-	-	-	-
fan	-	-	-	fanacht	-	-	-	-
faobhraigh	-	-	faobhróidh	-	-	-	-	-
faoileáil	faoileálann	faoileáil	faoileálfaidh	faoileáil	faoileáilte	-	faoileálaigí	faoileáiltear
faoisc	-	-	faoiscfidh	-	faoiscthe	-	-	-
faomh	-	-	-	-	faofa	-	-	-
feac	-	-	-	-	feactha	-	-	-
feallmharaigh	-	-	-	-	feallmharfa	-	-	-
fear	-	-	-	-	feartha	-	-	-
feic	-	conaic	feicfidh	feiceáil	feicthe	-	-	-
feidhmigh	-	-	feidhmeoidh	-	-	-	-	-
feighil	feighleann	feighil	feighlfidh	feighil	-	-	-	-
feil	-	-	feilfidh	-	-	-	-	-
feir	-	-	feirfidh	-	feirthe	-	-	-
feistigh	-	-	feisteoidh	-	-	-	-	-
feith	-	-	feithfidh	feitheamh	feite	-	-	-
feoigh	feonn	feoigh	feofaidh	feo	feoite	-	feoigí	feoitear
feáigh	feánn	feáigh	feáfaidh	feá	feáite	-	feáigí	feáitear
fiach	-	-	-	fiach	-	-	-	-
fiafraigh	-	-	fiafróidh	fiafraí	-	-	-	-
fiar	-	-	-	-	fiartha	-	-	-
figh	-	-	fífidh	fí	fite	-	-	fitear
fill	-	-	fillfidh	-	-	-	-	-
fionnachtain	-	-	fionnachtainfidh	-	-	-	-	-
fionraigh	-	-	fionróidh	fionraí	-	-	-	-
fiosraigh	-	-	fiosróidh	-	-	-	-	-
flosc	-	-	-	-	flosctha	-	-	-
flípeáil	flípeálann	flípeáil	flípeálfaidh	flípeáil	flípeáilte	-	flípeálaigí	flípeáiltear
fo-eagraigh	-	-	fo-eagróidh	-	-	-	-	-
fo-ghlac	-	-	-	-	fo-ghlactha	-	-	-
fo-ordaigh	-	-	fo-ordóidh	-	-	-	-	-
fo-rangaigh	-	-	fo-rangóidh	-	-	-	-	-
focáil	focálann	focáil	focálfaidh	focáil	focáilte	-	focálaigí	focáiltear
fodháil	-	-	fodháilfidh	-	-	-	-	-
fofhostaigh	-	-	fofhostóidh	-	-	-	-	-
foghlaim	foghlaimíonn	foghlaim	foghlaimeoidh	foghlaim	foghlamtha	-	foghlaimígí	foghlaimítear
foighnigh	-	-	-	foighneamh	-	-	-	-
foilsigh	-	-	foilseoidh	-	-	-	-	-
foirb	-	-	foirbfidh	-	foirbthe	-	-	-
foirceann	-	-	-	-	foirceanta	-	-	-
foirfigh	-	-	foirfeoidh	-	-	-	-	-
folaigh	-	-	folóidh	-	-	-	-	-
folc	-	-	-	-	folctha	-	-	-
folean	-	-	-	foleanúint	-	-	-	-
folig	-	-	foligfidh	foligean	foligthe	-	-	-
folmhaigh	-	-	folmhóidh	-	-	-	-	-
foloisc	-	-	foloiscfidh	foloscadh	foloiscthe	-	-	-
forbair	forbraíonn	forbair	forbróidh	forbairt	forbartha	-	forbraígí	forbraítear
forchlóigh	forchlónn	forchlóigh	forchlófaidh	forchló	forchlóite	-	forchlóigí	forchlóitear
forchoimeád	-	-	-	forchoimeád	-	-	-	-
forchoimhéad	-	-	-	forchoimhéad	-	-	-	-
forchuimil	forchuimlíonn	forchuimil	forchuimleoidh	forchuimilt	forchuimilte	-	forchuimlígí	forchuimlítear
forchuir	-	-	forchuirfidh	forchur	forchurtha	-	-	-
forcáil	forcálann	forcáil	forcálfaidh	forcáil	forcáilte	-	forcálaigí	forcáiltear
fordhearg	-	-	-	-	fordheargtha	-	-	-
fordhing	-	-	fordhingfidh	-	fordhingthe	-	-	-
fordhubhaigh	-	-	-	fordhúchan	-	-	-	-
fordhóigh	fordhónn	fordhóigh	fordhófaidh	fordhó	fordhóite	-	fordhóigí	fordhóitear
forfhill	-	-	forfhillfidh	-	-	-	-	-
forghabh	-	-	-	forghabháil	forghafa	-	-	-
forghair	-	-	forghairfidh	forghairm	forghairthe	-	-	-
forghoin	-	-	forghoinfidh	forghoin	forghonta	-	-	-
forghéill	-	-	forghéillfidh	-	-	-	-	-
foriaigh	foriann	foriaigh	foriafaidh	foriamh	foriata	-	foriaigí	foriatar
forleag	-	-	-	forleagan	forleagtha	-	-	-
forleath	-	-	-	-	forleata	-	-	forleatar
forloisc	-	-	forloiscfidh	forloscadh	forloiscthe	-	-	-
forluigh	-	-	forluífidh	forluí	forluite	-	-	forluitear
formheas	-	-	-	formheas	-	-	-	-
foroinn	-	-	foroinnfidh	foroinnt	-	-	-	-
forscaoil	-	-	forscaoilfidh	-	-	-	-	-
forsceith	-	-	forsceithfidh	-	forsceite	-	-	forsceitear
forshuigh	-	-	forshuífidh	forshuí	forshuite	-	-	forshuitear
fortaigh	-	-	fortóidh	fortacht	-	-	-	-
forthacht	-	-	-	-	forthachta	-	-	forthachtar
forthairg	-	-	forthairgfidh	forthairiscint	forthairgthe	-	-	-
forthéigh	forthéann	-	forthéifidh	forthéamh	-	-	-	-
foráil	forálann	foráil	forálfaidh	foráil	foráilte	-	forálaigí	foráiltear
foréiligh	-	-	-	foréileamh	-	-	-	-
forógair	forógraíonn	forógair	forógróidh	forógairt	forógartha	-	forógraígí	forógraítear
foscain	foscnaíonn	foscain	foscnóidh	foscnamh	foscanta	-	foscnaígí	foscnaítear
foscríobh	-	-	-	foscríobh	foscríofa	-	-	-
fostaigh	-	-	fostóidh	-	-	-	-	-
fotheidealaigh	-	-	fotheidealóidh	-	-	-	-	-
fothraig	fothragann	fothraig	fothragfaidh	fothragadh	fothragtha	-	fothragaigí	fothragtar
fracáil	fracálann	fracáil	fracálfaidh	fracáil	fracáilte	-	fracálaigí	fracáiltear
frainceáil	frainceálann	frainceáil	frainceálfaidh	frainceáil	frainceáilte	-	frainceálaigí	frainceáiltear
frainseáil	frainseálann	frainseáil	frainseálfaidh	frainseáil	frainseáilte	-	frainseálaigí	frainseáiltear
frapáil	frapálann	frapáil	frapálfaidh	frapáil	frapáilte	-	frapálaigí	frapáiltear
freagair	freagraíonn	freagair	freagróidh	freagairt	freagartha	-	freagraígí	freagraítear
freang	-	-	-	-	freangtha	-	-	-
freaschuir	-	-	freaschuirfidh	freaschur	freaschurtha	-	-	-
freastail	freastalaíonn	freastail	freastalóidh	freastal	freastalta	-	freastalaígí	freastalaítear
friotaigh	-	-	friotóidh	-	-	-	-	-
friotháil	friothálann	friotháil	friothálfaidh	friotháil	friotháilte	-	friothálaigí	friotháiltear
frisnéis	-	-	frisnéisfidh	frisnéis	-	-	-	-
frithbhuail	-	-	frithbhuailfidh	frithbhualadh	-	-	-	-
frithchaith	-	-	frithchaithfidh	frithchaitheamh	frithchaite	-	-	frithchaitear
frithionsaigh	-	-	frithionsóidh	frithionsaí	-	-	-	-
frithmháirseáil	frithmháirseálann	frithmháirseáil	frithmháirseálfaidh	frithmháirseáil	frithmháirseáilte	-	frithmháirseálaigí	frithmháirseáiltear
frithráigh	frithránn	frithráigh	frithráfaidh	frithrá	frithráite	-	frithráigí	frithráitear
frithshuigh	-	-	frithshuífidh	frithshuí	frithshuite	-	-	frithshuitear
frithspréigh	frithspréann	-	frithspréifidh	frithspré	-	-	-	-
fritháirigh	-	-	-	fritháireamh	-	-	-	-
frithéiligh	-	-	frithéileoidh	-	-	-	-	-
fuadaigh	-	-	fuadóidh	fuadach	-	-	-	-
fuaidrigh	-	-	-	fuaidreamh	-	-	-	-
fuaigh	fuann	fuaigh	fuafaidh	fuáil	fuaite	-	fuaigí	fuaitear
fuaraigh	-	-	fuaróidh	-	-	-	-	-
fuascail	fuasclaíonn	fuascail	fuasclóidh	fuascailt	fuascailte	-	fuasclaígí	fuasclaítear
fuathaigh	-	-	fuathóidh	-	-	-	-	-
fuighill	fuighleann	fuighill	fuighlfidh	fuigheall	fuighillte	-	fuighligí	fuighltear
fuill	-	-	fuillfidh	fuilleamh	-	-	-	-
fuin	-	-	fuinfidh	-	-	-	-	-
fuipeáil	fuipeálann	fuipeáil	fuipeálfaidh	fuipeáil	fuipeáilte	-	fuipeálaigí	fuipeáiltear
fuirigh	-	-	fuireoidh	fuireach	-	-	-	-
fuirsigh	fuirseann	fuirsigh	fuirsfidh	fuirseadh	fuirste	-	fuirsigí	fuirstear
fulaing	fulaingíonn	fulaing	fulaingeoidh	fulaingt	fulaingthe	-	fulaingígí	fulaingítear
fág	-	-	-	fágáil	fágtha	-	-	-
fáiltigh	-	-	fáilteoidh	-	-	-	-	-
fáir	-	-	fáirfidh	-	fáirthe	-	-	-
fáisc	-	-	fáiscfidh	fáscadh	fáiscthe	-	-	-
fálaigh	-	-	fálóidh	-	-	-	-	-
fás	-	-	-	fás	-	-	-	-
fásáil	fásálann	fásáil	fásálfaidh	fásáil	fásáilte	-	fásálaigí	fásáiltear
fáthmheas	-	-	-	fáthmheas	-	-	-	-
féach	-	-	-	féachaint	-	-	-	-
féad	-	-	-	féadachtáil	-	-	-	-
fíneáil	fíneálann	fíneáil	fíneálfaidh	fíneáil	fíneáilte	-	fíneálaigí	fíneáiltear
fóbair	fóbraíonn	fóbair	fóbróidh	fóbairt	fóbartha	-	fóbraígí	fóbraítear
fócht	-	-	-	-	fóchta	-	-	fóchtar
fógair	fógraíonn	fógair	fógróidh	fógairt	fógartha	-	fógraígí	fógraítear
fóin	fónann	fóin	fónfaidh	fónamh	fónta	-	fónaigí	fóntar
fóir	-	-	fóirfidh	fóirithint	fóirthe	-	-	-
fómhais	fómhasann	fómhais	fómhasfaidh	fómhas	fómhasta	-	fómhasaigí	fómhastar
fónáil	fónálann	fónáil	fónálfaidh	fónáil	fónáilte	-	fónálaigí	fónáiltear
fórsáil	fórsálann	fórsáil	fórsálfaidh	fórsáil	fórsáilte	-	fórsálaigí	fórsáiltear
gabh	-	-	-	gabháil	gafa	-	-	-
gad	-	-	-	gad	-	-	-	-
gaineamhrois	-	-	gaineamhroisfidh	-	-	-	-	-
gair	-	-	gairfidh	gairm	gairthe	-	-	-
gais	-	-	gaisfidh	-	-	-	-	-
galaigh	-	-	galóidh	-	-	-	-	-
galbhruith	-	-	galbhruithfidh	galbhruith	galbhruite	-	-	galbhruitear
galraigh	-	-	galróidh	-	-	-	-	-
galstobh	-	-	-	-	galstofa	-	-	-
garbhshnoigh	-	-	garbhshnoífidh	garbhshnoí	garbhshnoite	-	-	garbhshnoitear
garbhtheilg	-	-	garbhtheilgfidh	garbhtheilgean	garbhtheilgthe	-	-	-
gardáil	gardálann	gardáil	gardálfaidh	gardáil	gardáilte	-	gardálaigí	gardáiltear
geab	-	-	-	-	geabtha	-	-	-
geafáil	geafálann	geafáil	geafálfaidh	geafáil	geafáilte	-	geafálaigí	geafáiltear
geallearb	-	-	-	-	geallearbtha	-	-	-
gearr	-	-	-	-	gearrtha	-	-	-
gearán	-	-	-	gearán	-	-	-	-
geil	-	-	geilfidh	geilt	-	-	-	-
geimhrigh	-	-	geimhreoidh	-	-	-	-	-
geit	-	-	geitfidh	-	geite	-	-	geitear
geoidligh	-	-	geoidleoidh	-	-	-	-	-
gibir	gibríonn	gibir	gibreoidh	gibreacht	gibeartha	-	gibrígí	gibrítear
gigeáil	gigeálann	gigeáil	gigeálfaidh	gigeáil	gigeáilte	-	gigeálaigí	gigeáiltear
gin	-	-	ginfidh	giniúint	-	-	-	-
giob	-	-	-	-	giobtha	-	-	-
giolc	-	-	-	-	giolctha	-	-	-
giollaigh	-	-	-	giollacht	-	-	-	-
giorraigh	-	-	giorróidh	-	-	-	-	-
giortáil	giortálann	giortáil	giortálfaidh	giortáil	giortáilte	-	giortálaigí	giortáiltear
giosáil	giosálann	giosáil	giosálfaidh	giosáil	giosáilte	-	giosálaigí	giosáiltear
giúmaráil	giúmarálann	giúmaráil	giúmarálfaidh	giúmaráil	giúmaráilte	-	giúmarálaigí	giúmaráiltear
glac	-	-	-	-	glactha	-	-	-
glaeigh	glaenn	glaeigh	glaefaidh	glae	glaeite	-	glaeigí	glaeitear
glam	-	-	-	glamaíl	glamtha	-	-	-
glaoigh	glaonn	glaoigh	glaofaidh	glaoch	glaoite	-	glaoigí	glaoitear
glasáil	glasálann	glasáil	glasálfaidh	glasáil	glasáilte	-	glasálaigí	glasáiltear
gleadhair	gleadhrann	gleadhair	gleadhrfaidh	gleadhradh	gleadhartha	-	gleadhraigí	gleadhrtar
glean	-	-	-	gleanúint	-	-	-	-
gleois	-	-	gleoisfidh	-	-	-	-	-
gligleáil	gligleálann	gligleáil	gligleálfaidh	gligleáil	gligleáilte	-	gligleálaigí	gligleáiltear
glinneáil	glinneálann	glinneáil	glinneálfaidh	glinneáil	glinneáilte	-	glinneálaigí	glinneáiltear
glinnigh	-	-	-	glinniúint	-	-	-	-
gliogáil	gliogálann	gliogáil	gliogálfaidh	gliogáil	gliogáilte	-	gliogálaigí	gliogáiltear
gliúmáil	gliúmálann	gliúmáil	gliúmálfaidh	gliúmáil	gliúmáilte	-	gliúmálaigí	gliúmáiltear
gliúáil	gliúálann	gliúáil	gliúálfaidh	gliúáil	gliúáilte	-	gliúálaigí	gliúáiltear
gloinigh	-	-	gloineoidh	-	-	-	-	-
gluais	-	-	gluaisfidh	gluaiseacht	-	-	-	-
glám	-	-	-	-	glámtha	-	-	-
glámh	-	-	-	-	glámhtha	-	-	-
glónraigh	-	-	glónróidh	-	-	-	-	-
gnéasaithin	gnéasaithníonn	gnéasaithin	gnéasaithneoidh	gnéasaithint	gnéasaitheanta	-	gnéasaithnígí	gnéasaithnítear
gníomhaigh	-	-	gníomhóidh	-	-	-	-	-
gnóthaigh	-	-	gnóthóidh	-	-	-	-	-
gob	-	-	-	-	gobtha	-	-	-
gogail	gogalaíonn	gogail	gogalóidh	gogal	gogailte	-	gogalaígí	gogalaítear
goid	-	-	goidfidh	goid	-	-	-	-
goil	-	-	goilfidh	gol	-	-	-	-
goiligh	-	-	goileoidh	-	-	-	-	-
goill	-	-	goillfidh	-	-	-	-	-
goin	-	-	goinfidh	-	-	-	-	-
gor	-	-	-	-	gortha	-	-	-
gortaigh	-	-	gortóidh	-	-	-	-	-
gotháil	gothálann	gotháil	gothálfaidh	gotháil	gotháilte	-	gothálaigí	gotháiltear
grabáil	grabálann	grabáil	grabálfaidh	grabáil	grabáilte	-	grabálaigí	grabáiltear
graf	-	-	grafaidh	-	-	-	-	graftar
greamaigh	-	-	greamóidh	-	-	-	-	-
greannaigh	-	-	greannóidh	-	-	-	-	-
greanrois	-	-	greanroisfidh	-	-	-	-	-
greanáil	greanálann	greanáil	greanálfaidh	greanáil	greanáilte	-	greanálaigí	greanáiltear
greasáil	greasálann	greasáil	greasálfaidh	greasáil	greasáilte	-	greasálaigí	greasáiltear
grinndearc	-	-	-	-	grinndearctha	-	-	-
griog	-	-	-	-	griogtha	-	-	-
griotháil	griothálann	griotháil	griothálfaidh	griotháil	griotháilte	-	griothálaigí	griotháiltear
grodloisc	-	-	grodloiscfidh	grodloscadh	grodloiscthe	-	-	-
grábháil	grábhálann	grábháil	grábhálfaidh	grábháil	grábháilte	-	grábhálaigí	grábháiltear
grádaigh	-	-	grádóidh	-	-	-	-	-
gráigh	gránn	gráigh	gráfaidh	grá	gráite	-	gráigí	gráitear
gráinseáil	gráinseálann	gráinseáil	gráinseálfaidh	gráinseáil	gráinseáilte	-	gráinseálaigí	gráinseáiltear
grátáil	grátálann	grátáil	grátálfaidh	grátáil	grátáilte	-	grátálaigí	grátáiltear
gréasaigh	-	-	gréasóidh	-	-	-	-	-
gréisc	-	-	gréiscfidh	-	gréiscthe	-	-	-
gríosc	-	-	-	-	gríosctha	-	-	-
gróig	-	-	gróigfidh	-	gróigthe	-	-	-
grúdaigh	-	-	grúdóidh	-	-	-	-	-
grúmáil	grúmálann	grúmáil	grúmálfaidh	grúmáil	grúmáilte	-	grúmálaigí	grúmáiltear
grúntáil	grúntálann	grúntáil	grúntálfaidh	grúntáil	grúntáilte	-	grúntálaigí	grúntáiltear
grúpáil	grúpálann	grúpáil	grúpálfaidh	grúpáil	grúpáilte	-	grúpálaigí	grúpáiltear
grútáil	grútálann	grútáil	grútálfaidh	grútáil	grútáilte	-	grútálaigí	grútáiltear
guailleáil	guailleálann	guailleáil	guailleálfaidh	guailleáil	guilleáilte	-	guailleálaigí	guailleáiltear
guairigh	-	-	guaireoidh	-	-	-	-	-
gualaigh	-	-	gualóidh	-	-	-	-	-
guigh	-	-	guífidh	guí	guite	-	-	guitear
gág	-	-	-	-	gágtha	-	-	-
gáinneáil	gáinneálann	gáinneáil	gáinneálfaidh	gáinneáil	gáinneáilte	-	gáinneálaigí	gáinneáiltear
gáir	-	-	gáirfidh	gáire	gáirthe	-	-	-
géagaigh	-	-	géagóidh	-	-	-	-	-
géaraigh	-	-	géaróidh	-	-	-	-	-
géill	-	-	géillfidh	-	-	-	-	-
géim	-	-	géimfidh	géimneach	géimthe	-	-	-
géis	-	-	géisfidh	-	-	-	-	-
gíog	-	-	-	-	gíogtha	-	-	-
góchum	-	-	-	-	góchumtha	-	-	-
gófráil	gófrálann	gófráil	gófrálfaidh	gófráil	gófráilte	-	gófrálaigí	gófráiltear
haiceáil	haiceálann	haiceáil	haiceálfaidh	haiceáil	haiceáilte	-	haiceálaigí	haiceáiltear
hibridigh	-	-	hibrideoidh	-	-	-	-	-
hidriginigh	-	-	hidrigineoidh	-	-	-	-	-
hipearnasc	-	-	-	-	hipearnasctha	-	-	-
húcáil	húcálann	húcáil	húcálfaidh	húcáil	húcáilte	-	húcálaigí	húcáiltear
húvaráil	húvarálann	húvaráil	húvarálfaidh	húvaráil	húvaráilte	-	húvarálaigí	húvaráiltear
iacht	-	-	-	-	iachta	-	-	iachtar
iaigh	iann	iaigh	iafaidh	iamh	iata	-	iaigí	-
ianaigh	-	-	ianóidh	-	-	-	-	-
iarchuir	-	-	iarchuirfidh	iarchur	iarchurtha	-	-	-
iarnaigh	-	-	iarnóidh	-	-	-	-	-
iarnáil	iarnálann	iarnáil	iarnálfaidh	iarnáil	iarnáilte	-	iarnálaigí	iarnáiltear
iarr	-	-	-	iarraidh	iarrtha	-	-	-
iasc	-	-	-	iascach	iasctha	-	-	-
ibh	-	-	ibhfidh	ibhe	ife	-	-	-
idir-roinn	-	-	idir-roinnfidh	idir-roinnt	-	-	-	-
idircheap	-	-	-	-	idircheaptha	-	-	-
idircheart	-	-	-	idircheart	idirchearta	-	-	idircheartar
idirchuir	-	-	idirchuirfidh	idirchur	idirchurtha	-	-	-
idirfhigh	-	-	idirfhífidh	idirfhí	idirfhite	-	-	idirfhitear
idirghabh	-	-	-	idirghabháil	idirghafa	-	-	-
idirghearr	-	-	-	-	idirghearrtha	-	-	-
idirleath	-	-	-	-	idirleata	-	-	idirleatar
idirlínigh	-	-	idirlíneoidh	-	-	-	-	-
idirscar	-	-	-	-	idirscartha	-	-	-
idirscoir	-	-	idirscoirfidh	idirscor	idirscortha	-	-	-
idirshuigh	-	-	idirshuífidh	idirshuí	idirshuite	-	-	idirshuitear
idriginigh	-	-	-	hidriginiú	hidriginithe	-	-	-
ilchóipeáil	ilchóipeálann	ilchóipeáil	ilchóipeálfaidh	ilchóipeáil	ilchóipeáilte	-	ilchóipeálaigí	ilchóipeáiltear
imaistrigh	-	-	imaistreoidh	-	-	-	-	-
imchlóigh	imchlónn	imchlóigh	imchlófaidh	imchló	imchlóite	-	imchlóigí	imchlóitear
imchlúdaigh	-	-	-	imchlúdach	-	-	-	-
imchosain	imchosnaíonn	imchosain	imchosnóidh	imchosaint	imchosanta	-	imchosnaígí	imchosnaítear
imchroith	-	-	imchroithfidh	-	imchroite	-	-	imchroitear
