# lemma	prs1sg	prs2sg	prs3sg	prs1pl	prs2pl	prs3pl	sbjv3	imp2sg	ptcp	ger	ipfv1sg	pfv3sg ("-" = derive)
aia	aiez	aiezi	aiază	aiem	aiați	aiază	aieze	aiază	aiat	aind	aiam	aie
aiedui	aieduiesc	aieduiești	aieduiește	aieduim	aieduiți	aieduiesc	aieduiască	aieduiește	aieduit	aieduind	aieduiam	aiedui
aiepta	aiept	aiepți	aiaptă	aieptăm	aieptați	aiaptă	aiepte	aiaptă	aieptat	aieptând	aieptam	aieptă
aii	aiesc	aiești	aiește	aiim	aiiți	aiesc	aiască	aiește	aiit	aiind	aiam	aii
aitui	aituiesc	aituiești	aituiește	aituim	aituiți	aituiesc	aituiască	aituiește	aituit	aituind	aituiam	aitui
ajunge	-	-	-	-	-	-	-	-	ajuns	-	-	ajunse
albii	-	-	albiește	-	-	albiesc	albiască	-	albiit	albiind	-	albii
alciui	alciuiesc	alciuiești	alciuiește	alciuim	alciuiți	alciuiesc	alciuiască	alciuiește	alciuit	alciuind	alciuiam	alciui
alcătui	alcătuiesc	alcătuiești	alcătuiește	alcătuim	alcătuiți	alcătuiesc	alcătuiască	alcătuiește	alcătuit	alcătuind	alcătuiam	alcătui
aldoi	aldoiesc	aldoiești	aldoiește	aldoim	aldoiți	aldoiesc	aldoiască	aldoiește	aldoit	aldoind	aldoiam	aldoi
aldui	alduiesc	alduiești	alduiește	alduim	alduiți	alduiesc	alduiască	alduiește	alduit	alduind	alduiam	aldui
alefta	aleft	alefți	aleftă	aleftăm	aleftați	aleftă	alefte	aleftă	aleftat	aleftând	aleftam	aleftă
alege	-	-	-	-	-	-	-	-	ales	-	-	alese
alegădui	alegăduiesc	alegăduiești	alegăduiește	alegăduim	alegăduiți	alegăduiesc	alegăduiască	alegăduiește	alegăduit	alegăduind	alegăduiam	alegădui
alenzui	-	-	-	-	-	-	-	-	-	-	alenzuiam	-
alerga	alerg	alergi	aleargă	alergăm	alergați	aleargă	alerge	aleargă	alergat	alergând	alergam	alergă
alezui	alezuiesc	alezuiești	alezuiește	alezuim	alezuiți	alezuiesc	alezuiască	alezuiește	alezuit	alezuind	alezuiam	alezui
aleșui	aleșuiesc	aleșuiești	aleșuiește	aleșuim	aleșuiți	aleșuiesc	aleșuiască	aleșuiește	aleșuit	aleșuind	aleșuiam	aleșui
alia	aliez	aliezi	aliază	aliem	aliați	aliază	alieze	aliază	aliat	aliind	aliam	alie
aliepta	aliept	aliepți	aliaptă	alieptăm	alieptați	aliaptă	aliepte	aliaptă	alieptat	alieptând	alieptam	alieptă
alinea	alineez	alineezi	alineează	alineăm	alineați	alineează	alineeze	alineează	alineat	alineând	alineam	alineă
alinia	aliniez	aliniezi	aliniază	aliniem	aliniați	aliniază	alinieze	aliniază	aliniat	aliniind	aliniam	alinie
alipui	alipuiesc	alipuiești	alipuiește	alipuim	alipuiți	alipuiesc	alipuiască	alipuiește	alipuit	alipuind	alipuiam	alipui
aloca	aloc	aloci	alocă	alocăm	alocați	alocă	aloce	alocă	alocat	alocând	alocam	alocă
altoi	altoiesc	altoiești	altoiește	altoim	altoiți	altoiesc	altoiască	altoiește	altoit	altoind	altoiam	altoi
altui	altuiesc	altuiești	altuiește	altuim	altuiți	altuiesc	altuiască	altuiește	altuit	altuind	altuiam	altui
aluneca	alunec	aluneci	alunecă	alunecăm	alunecați	alunecă	alunece	alunecă	alunecat	alunecând	alunecam	alunecă
alămui	alămuiesc	alămuiești	alămuiește	alămuim	alămuiți	alămuiesc	alămuiască	alămuiește	alămuit	alămuind	alămuiam	alămui
alătra	alatru	alatri	alatră	alătrăm	alătrați	alatră	alatre	alatră	alătrat	alătrând	alătram	alătră
ambarca	ambarc	ambarci	ambarcă	-	-	ambarcă	ambarce	ambarcă	-	-	-	-
ambreia	ambreiez	ambreiezi	ambreiază	ambreiem	ambreiați	ambreiază	ambreieze	ambreiază	ambreiat	ambreind	ambreiam	ambreie
ambuteia	ambuteiez	ambuteiezi	ambuteiază	ambuteiem	ambuteiați	ambuteiază	ambuteieze	ambuteiază	ambuteiat	ambuteind	ambuteiam	ambuteie
amelința	amelinț	amelinți	amelință	-	-	amelință	amelințe	amelință	-	-	-	-
amenița	ameniț	ameniți	ameniță	-	-	ameniță	amenițe	ameniță	-	-	-	-
amerința	amerinț	amerinți	amerință	-	-	amerință	amerințe	amerință	-	-	-	-
amesteca	amestec	amesteci	amestecă	amestecăm	amestecați	amestecă	amestece	amestecă	amestecat	amestecând	amestecam	amestecă
amnestia	amnestiez	amnestiezi	amnestiază	amnestiem	amnestiați	amnestiază	amnestieze	amnestiază	amnestiat	amnestiind	amnestiam	amnestie
amnistia	amnistiez	amnistiezi	amnistiază	amnistiem	amnistiați	amnistiază	amnistieze	amnistiază	amnistiat	amnistiind	amnistiam	amnistie
amușina	amușin	amușini	amușină	-	-	amușină	amușine	amușină	-	-	-	-
amușului	amușuluiesc	amușuluiești	amușuluiește	amușuluim	amușuluiți	amușuluiesc	amușuluiască	amușuluiește	amușuluit	amușuluind	amușuluiam	amușului
amuța	amuț	amuți	amuță	-	-	amuță	amuțe	amuță	-	-	-	-
amânunța	amânunț	amânunți	amânunță	-	-	amânunță	amânunțe	amânunță	-	-	-	-
amăhăi	amăhăiesc	amăhăiești	amăhăiește	amăhăim	amăhăiți	amăhăiesc	amăhăiască	amăhăiește	amăhăit	amăhăind	amăhăiam	amăhăi
anemia	anemiez	anemiezi	anemiază	anemiem	anemiați	anemiază	anemieze	anemiază	anemiat	anemiind	anemiam	anemie
anestezia	anesteziez	anesteziezi	anesteziază	anesteziem	anesteziați	anesteziază	anestezieze	anesteziază	anesteziat	anesteziind	anesteziam	anestezie
anroba	anrob	anrobi	anrobă	anrobăm	anrobați	anrobă	anrobe	anrobă	anrobat	anrobând	anrobam	anrobă
antepronunța	antepronunț	antepronunți	antepronunță	-	-	antepronunță	antepronunțe	antepronunță	-	-	-	-
antepune	antepun	antepui	antepune	antepunem	antepuneți	antepun	antepună	antepune	antepus	antepunând	antepuneam	antepuse
aparține	aparțin	aparții	aparține	aparținem	aparțineți	aparțin	aparțină	aparține	aparținut	aparținând	aparțineam	aparținu
apercepa	apercep	apercepi	aperceapă	apercepăm	apercepați	aperceapă	apercepe	aperceapă	apercepat	apercepând	apercepam	apercepă
apica	apic	apici	apică	-	-	apică	apice	apică	-	-	-	-
apitui	-	-	-	-	-	-	-	-	-	-	apitueam	-
apleca	aplec	apleci	apleacă	aplecăm	aplecați	apleacă	aplece	apleacă	aplecat	aplecând	aplecam	aplecă
aprecia	apreciez	apreciezi	apreciază	apreciem	apreciați	apreciază	aprecieze	apreciază	apreciat	apreciind	apreciam	aprecie
aprețui	aprețuiesc	aprețuiești	aprețuiește	aprețuim	aprețuiți	aprețuiesc	aprețuiască	aprețuiește	aprețuit	aprețuind	aprețuiam	aprețui
aprinde	-	-	-	-	-	-	-	-	aprins	aprinzând	-	aprinse
aproba	aprob	aprobi	aprobă	aprobăm	aprobați	aprobă	aprobe	aprobă	aprobat	aprobând	aprobam	aprobă
aprobălui	aprobăluiesc	aprobăluiești	aprobăluiește	aprobăluim	aprobăluiți	aprobăluiesc	aprobăluiască	aprobăluiește	aprobăluit	aprobăluind	aprobăluiam	aprobălui
apropia	apropii	apropii	apropie	apropiem	apropiați	apropie	apropie	apropie	apropiat	apropiind	apropiam	apropie
apropria	apropriez	apropriezi	apropriază	apropriem	apropriați	apropriază	aproprieze	apropriază	apropriat	apropriind	apropriam	aproprie
aprova	-	-	aprovă	-	-	aprovă	aprove	-	aprovat	aprovând	-	aprovă
aprumuta	aprumut	aprumuți	aprumută	-	-	aprumută	aprumute	aprumută	-	-	-	-
apune	apun	apui	apune	apunem	apuneți	apun	apună	apune	apus	apunând	apuneam	apuse
