# lemma	past	future	vn	ptcp  (mined principal parts, delenited past; "-" = derive)
abair	tuirt	their	ràdh	ràite
dì-luchdaich	dì-luchdaich	dì-luchdaichidh	dì-luchdachadh	dì-luchdaichte
dì-làraich	dì-làraich	dì-làraichidh	dì-làrachadh	dì-làraichte
dìobair	dìobair	dìobraidh	dìobradh	dìobairte
dìochuimhnich	dìochuimhnich	dìochuimhnichidh	dìochuimhneachadh	dìochuimhnichte
dìoghail	dìoghail	dìoghlaidh	dìoghladh	dìoghailte
dìol	dìol	dìolaidh	dìoladh	dìolte
dìon	dìon	-	dìon	dìonte
dìrich	dìrich	dìrichidh	dìreadh	dìrichte
dòirt	dòirt	dòirtidh	dòrtadh	dòirte
dòth	dòth	dòthaidh	dòthadh	dòthte
dùin	dùin	dùinidh	dùnadh	dùinte
dùisg	dùisg	dùisgidh	dùsgadh	dùisgte
eadar-cheangail	eadar-cheangail	eadar-cheanglaidh	eadar-cheangal	eadar-cheangailte
eadar-chuir	eadar-chuir	eadar-chuiridh	eadar-chur	eadar-chuirte
eadar-dhealaich	eadar-dhealaich	eadar-dhealaichidh	eadar-dhealachadh	eadar-dhealaichte
eadar-dhuilleagaich	eadar-dhuilleagaich	eadar-dhuilleagaichidh	eadar-dhuilleagachadh	eadar-dhuilleagaichte
eadar-dhuillich	eadar-dhuillich	eadar-dhuillichidh	eadar-dhuilleachadh	eadar-dhuillichte
eadar-fhigh	eadar-fhigh	eadar-fhighidh	eadar-fhìgheadh	eadar-fhighte
eadar-fhill	eadar-fhill	eadar-fhillidh	eadar-fhilleadh	eadar-fhillte
eadar-mhìnich	eadar-mhìnich	eadar-mhìnichidh	eadar-mhìneachadh	eadar-mhìnichte
eadar-phongaich	eadar-phongaich	eadar-phongaichidh	eadar-phongachadh	eadar-phongaichte
eadar-phòs	eadar-phòs	eadar-phòsaidh	eadar-phòsadh	eadar-phòsta
eadar-sgaoil	eadar-sgaoil	eadar-sgaoilidh	eadar-sgaoileadh	eadar-sgaoilte
eadar-sgap	eadar-sgap	eadar-sgapaidh	eadar-sgapadh	eadar-sgapte
eadar-sgrìobh	eadar-sgrìobh	eadar-sgrìobhaidh	eadar-sgrìobhadh	eadar-sgrìobhta
eadar-shreathaich	eadar-shreathaich	eadar-shreathaichidh	eadar-shreathadh	eadar-shreathte
eadar-theangaich	eadar-theangaich	eadar-theangaichidh	eadar-theangachadh	eadar-theangaichte
eadar-thoinn	eadar-thoinn	eadar-thoinnidh	eadar-thoinneadh	eadar-thoinnte
earb	earb	earbaidh	earbsadh	earbte
eas-aontaich	eas-aontaich	eas-aontaichidh	eas-aontachadh	eas-aontaichte
eas-onoraich	eas-onoraich	eas-onoraichidh	eas-onorachadh	eas-onoraichte
eas-urramaich	eas-urramaich	eas-urramaichidh	eas-urramachadh	eas-urramaichte
eas-òrdaich	eas-òrdaich	eas-òrdaichidh	eas-òrdachadh	eas-òrdaichte
eas-ùmhlaich	eas-ùmhlaich	eas-ùmhlaichidh	eas-ùmhlachadh	eas-ùmhlaichte
eiridnich	eiridnich	eiridnichidh	eiridneachadh	eiridnichte
eug	eug	eugaidh	eugadh	eugte
faic	cunnaic	chì	faicinn	faicte
faigh	fuair	gheibh	faighinn	faighte
faighnich	faighnich	faighnichidh	faighneachd	faighnichte
failc	failc	failcidh	failceadh	failcte
fairich	fairich	fairichidh	faireachdainn	fairichte
falaich	falaich	falaichidh	falach	falaichte
falamhaich	falamhaich	falamhaichidh	falamhachadh	falamhaichte
falbh	falbh	falbhaidh	falbh	falbhte
fan	fan	fanaidh	fantail	-
fannaich	fannaich	fannaichidh	fannachadh	fannaichte
farraid	farraid	farraididh	farraid	farraidte
fasdaich	fasdaich	fasdaichidh	fasdachadh	fasdaichte
fast	fast	fastaidh	fastadh	-
fastaich	fastaich	fastaichidh	fastachadh	fastaichte
fastaidh	fastaidh	fastaidhidh	fastadh	fastaidhte
fead	fead	feadaidh	feadail	feadte
feall	feall	feallaidh	fealladh	-
feamainn	feamainn	feamainnidh	feamnadh	feamainnte
feann	feann	feannaidh	feannadh	-
feith	feith	feithidh	feitheamh	feithte
feuch	feuch	feuchaidh	feuchainn	feuchte
feur	feur	feuraidh	feuradh	feurte
fiar	fiar	fiaraidh	fiaradh	fiarte
fiaraich	fiaraich	fiaraichidh	fiarachadh	fiaraichte
figh	figh	fighidh	fighe	fighte
fill	fill	fillidh	filleadh	fillte
fionn	fionn	fionnaidh	fionnadh	fionnte
fionnaraich	fionnaraich	fionnaraichidh	fionnarachadh	fionnaraichte
fliuch	fliuch	fliuchaidh	fliuchadh	fliuchte
fo-roinn	fo-roinn	fo-roinnidh	fo-roinn	fo-roinnte
fo-sgrìobh	fo-sgrìobh	fo-sgrìobhaidh	fo-sgrìobhadh	fo-sgrìobhte
foghain	foghain	fòghnaidh	fòghnadh	foghainte
foghlaim	foghlaim	foghlaimidh	foghlam	foghlaimte
foillsich	foillsich	follsichidh	foillseachadh	foillsichte
folaich	folaich	folaichidh	folach	folaichte
fosgail	fosgail	fosglaidh	fosgladh	fosgailte
fraidhig	fraidhig	fraidhigidh	fraidhigeadh	fraidhigte
fras	fras	frasaidh	frasadh	fraste
freagair	freagair	freagairidh	freagairt	freagairte
freumhaich	freumhaich	freumhaichidh	freumhachadh	freumhaichte
frith-ainmich	frith-ainmich	frith-ainmichidh	frith-ainmeachadh	frith-ainmichte
frith-bheart	frith-bheart	frith-bheartaidh	frith-bheartadh	frith-bhearte
frith-bhuail	frith-bhuail	frith-bhuailidh	frith-bhualadh	frith-bhuailte
frith-leum	frith-leum	frith-leumaidh	frith-leum	frith-leumte
fritheil	fritheil	fritheilidh	frithealadh	fritheilte
fuaigheil	fuaigheil	fuaighlidh	fuaigheal	fuaigheilte
fuaimnich	fuaimnich	fuaimnnichidh	fuaimneachadh	fuaimnichte
fuaraich	fuaraich	fuaraichidh	fuarachadh	fuaraichte
fuasgail	fuasgail	fuasgailidh	fuasgladh	fuasgailte
fuathaich	fuathaich	fuathaichidh	fuathachadh	fuathaichte
fuiling	fuiling	fuilingidh	fulang	fuilingte
fuin	fuin	fuinidh	fuine	fuinte
fuirich	fuirich	fuirichidh	fuireach	fuirichte
fàg	fàg	fàgaidh	fàgail	fàgte
fàillig	fàillig	fàilligidh	fàilligeadh	fàilligte
fàillinnich	fàillinnich	fàillinnichidh	fàillinneachadh	fàillinnichte
fàillnich	fàillnich	fàillnichidh	fàillneachadh	fàillnichte
fàisnich	fàisnich	fàisnichidh	fàisneachadh	fàisnichte
fàs	fàs	fàsaidh	fàs	fàsta
fàsaich	fàsaich	fàsaichidh	fàsachadh	fàsaichte
fògair	fògair	fògairidh	fògradh	fògairte
fòn	fòn	fònaidh	fònadh	fònte
gabh	gabh	gabhaidh	gabhail	gabhte
gail	gail	gailidh	gal	gailte
gairm	gairm	gairmidh	gairm	gairmte
gar	gar	garaidh	garadh	garte
geall	geall	geallaidh	gealltainn	geallte
geamhraich	geamhraich	geamhraichidh	geamhrachadh	geamhraichte
gearain	gearain	gearainidh	gearan	gearainte
gearr	gearr	gearraidh	gearradh	gearrta
geàrr	geàrr	gearraidh	gearradh	-
gin	gin	ginidh	gintinn	ginte
giorraich	giorraich	giorraichidh	giorrachadh	giorraichte
giùlain	giùlain	giùlainidh	giùlan	giùlainte
glac	glac	glacaidh	glacadh	glacte
glais	glais	glaisidh	-	-
glan	glan	glanaidh	glanadh	glante
glaodh	glaodh	glaodhaidh	glaodhadh	glaodhte
glas	glas	glasaidh	-	-
gleus	gleus	gleusaidh	gleusadh	gleuste
gluais	gluais	gluaisidh	gluasad	gluaiste
glèidh	glèidh	glèidhidh	glèidheadh	glèidhte
